is_val_error,reg,stepSize,lastKDays,kout,kin,time_ix,hy_ix,rmse,mae
False,SVR,2,10,5,-1,9,5,4.948986432826071,3.605020192380932
False,SVR,2,10,5,-1,11,5,11.166396064607804,8.188032188911688
False,SVR,2,10,5,-1,13,5,15.442218552637225,13.322536788349664
False,SVR,2,10,5,-1,15,5,11.434294322314322,9.150024266792286
False,SVR,2,10,5,-1,17,5,16.349637107891763,15.448395402781864
False,SVR,2,10,5,-1,19,5,19.255943922381103,17.26676810822582
False,SVR,2,10,5,-1,21,5,9.800273349107052,8.625898001794331
False,SVR,2,10,5,-1,23,5,14.335304346026374,10.922280336168944
False,SVR,2,10,5,-1,25,5,12.694706670166141,10.113784658867381
False,SVR,2,10,5,-1,27,5,14.71973346002471,12.314068660571104
