is_val_error,reg,stepSize,lastKDays,kout,kin,time_ix,hy_ix,rmse,mae
False,Lasso,2,1,4,-1,0,7,15.93586996220143,12.285326086956525
False,Lasso,2,1,4,-1,2,7,21.89416826409447,18.004528985507246
False,Lasso,2,1,4,-1,4,7,11.848053312189771,11.08876811594203
False,Lasso,2,1,4,-1,6,7,14.468833067526699,11.595325842970773
False,Lasso,2,1,4,-1,8,7,7.29953901058752,6.857439613526566
False,Lasso,2,1,4,-1,10,7,4.44320686215154,3.210936482155019
False,Lasso,2,1,4,-1,12,7,1.8893320970460792,1.577576635924462
False,Lasso,2,1,4,-1,14,7,11.997299642070347,9.282271241830074
False,Lasso,2,1,4,-1,16,7,17.00840970880992,14.456360645434856
False,Lasso,2,1,4,-1,18,7,20.599144499146195,18.687890903033328
