,K,I,KNN,GP
0.2554945054945055,"{0: 0, 1: 30.29418117202404, 2: 0, 3: 0, 4: 11.766894905627268, 5: 13.090401836370788}","{0: 0, 1: 26.909725638850105, 2: 0, 3: 0, 4: 12.812149724631595, 5: 12.807841022366475}","{0: 0, 1: 24.708333333333314, 2: 0, 3: 0, 4: 17.097222222222214, 5: 1.3958333333333286}","{0: 0, 1: 44.6001613819534, 2: 0, 3: 0, 4: 7.891670639654905, 5: 10.840582573704978}"
0.2582417582417583,"{0: 0, 1: 17.6565958279609, 2: 0, 3: 0, 4: 16.873917122174717, 5: 14.410157114487504}","{0: 0, 1: 17.037016613784203, 2: 0, 3: 0, 4: 3.855817477331783, 5: 0.5756597305700666}","{0: 0, 1: 14.290674603174594, 2: 0, 3: 0, 4: 20.26488095238095, 5: 17.938492063492035}","{0: 0, 1: 47.106342150400195, 2: 0, 3: 0, 4: 16.736492808981723, 5: 13.984785641815733}"
0.260989010989011,"{0: 0, 1: 20.511634199134186, 2: 0, 3: 0, 4: 40.16750712786811, 5: 21.87581243858103}","{0: 0, 1: 21.235955104421805, 2: 0, 3: 0, 4: 40.377667753712934, 5: 39.13995138288007}","{0: 0, 1: 20.511634199134193, 2: 0, 3: 0, 4: 25.428300865800864, 5: 23.132305194805195}","{0: 0, 1: 19.403873269684674, 2: 0, 3: 0, 4: 33.523952141102434, 5: 22.53252843860313}"
0.2637362637362637,"{0: 0, 1: 1.0153468260240572, 2: 0, 3: 0, 4: 1.8390151515127968, 5: 4.237373737373719}","{0: 0, 1: 1.022830472487417, 2: 0, 3: 0, 4: 4.582255662453839, 5: 5.22083094943244}","{0: 0, 1: 1.4015151515151523, 2: 0, 3: 0, 4: 1.8390151515151523, 5: 4.2373737373737335}","{0: 0, 1: 0.5798913855555305, 2: 0, 3: 0, 4: 1.777975781032346, 5: 4.674014658147076}"
0.2664835164835165,"{0: 0, 1: 17.947548598060152, 2: 0, 3: 0, 4: 7.904701243910026, 5: 9.378253041116153}","{0: 0, 1: 22.553938002868776, 2: 0, 3: 0, 4: 8.739149387143712, 5: 8.873645887386271}","{0: 0, 1: 21.27083333333333, 2: 0, 3: 0, 4: 0.26388888888888573, 5: 11.05555555555556}","{0: 0, 1: 14.767997970337476, 2: 0, 3: 0, 4: 6.34313140087859, 5: 10.869872699292188}"
0.2692307692307692,"{0: 0, 1: 29.53919860646154, 2: 0, 3: 0, 4: 7.01150302629776, 5: 10.07550158792671}","{0: 0, 1: 36.84624383630988, 2: 0, 3: 0, 4: 8.164081809673732, 5: 9.54386031501383}","{0: 0, 1: 33.46527777777777, 2: 0, 3: 0, 4: 10.284722222222229, 5: 21.270833333333336}","{0: 0, 1: 25.697082429056785, 2: 0, 3: 0, 4: 2.23681720475642, 5: 10.99073636087951}"
0.271978021978022,"{0: 8.555770041696753, 1: 2.971467959025425, 2: 8.33511405234703, 3: 3.1974454847435654, 4: 9.562025525755308, 5: 5.916186039445173}","{0: 8.079863837392203, 1: 3.6050452285386028, 2: 8.10081634443935, 3: 5.206727194528775, 4: 9.932319328394225, 5: 6.392328608678368}","{0: 7.963000287757771, 1: 4.937146491264105, 2: 9.2490552702603, 3: 5.1754431588243675, 4: 8.628463665748347, 5: 6.802036421221489}","{0: 7.641448342315681, 1: 3.3938163947224362, 2: 7.687613238678852, 3: 4.499992917359848, 4: 10.0358268690656, 5: 6.231807655983754}"
0.27472527472527475,"{0: 10.930001205174271, 1: 6.88983588679944, 2: 12.331093338704742, 3: 6.80686261801287, 4: 11.968074482948346, 5: 11.612066137444465}","{0: 9.486583284931429, 1: 7.977210297883573, 2: 13.558130431759196, 3: 10.449608824806386, 4: 12.306363970672953, 5: 11.35549045423694}","{0: 9.199508928221974, 1: 9.694515827751069, 2: 14.025221844194864, 3: 11.838582501673333, 4: 10.906258324295939, 5: 12.528419468044806}","{0: 15.363830721143183, 1: 8.07081923470758, 2: 12.212271814487192, 3: 11.853682695566112, 4: 10.97282296203815, 5: 10.588113915930094}"
0.2774725274725275,"{0: 7.95725907044381, 1: 13.347995947645767, 2: 10.012797012302018, 3: 9.312340126851602, 4: 7.74827194172232, 5: 11.990304667733158}","{0: 7.182196728550496, 1: 12.002538060014759, 2: 9.233254112826824, 3: 10.261030034616727, 4: 9.704282599570357, 5: 11.009358672253573}","{0: 8.026826026290857, 1: 12.574027491764099, 2: 10.245409726330664, 3: 9.689225586391915, 4: 9.744889980589713, 5: 12.026057270077294}","{0: 9.239455305520574, 1: 14.613132512033813, 2: 11.050038435107897, 3: 11.300650816704682, 4: 10.332143739241229, 5: 15.788301197224321}"
0.2802197802197802,"{0: 12.946055935598489, 1: 15.535293168198656, 2: 12.919080725054089, 3: 13.106441532435142, 4: 10.801494203621695, 5: 13.709622778310449}","{0: 12.993854987974906, 1: 14.591124858483694, 2: 11.986720575580678, 3: 13.88317965943067, 4: 10.790458531537654, 5: 11.050968498089366}","{0: 13.33554321398057, 1: 15.821583088460043, 2: 13.474892594194321, 3: 13.900357620364892, 4: 10.156028242302522, 5: 12.043685019323243}","{0: 12.927579044559085, 1: 15.487935320652184, 2: 12.945448667967081, 3: 13.570194707370089, 4: 11.063790669652695, 5: 15.180433825800918}"
0.28296703296703296,"{0: 10.560099038846385, 1: 17.508202267508928, 2: 12.713324984000772, 3: 13.009392854373843, 4: 12.964634789646473, 5: 14.854580535855865}","{0: 10.110018298854413, 1: 13.194733868142821, 2: 11.910003937154153, 3: 13.117646018436691, 4: 12.364379465516006, 5: 10.296124529728944}","{0: 10.693071421289623, 1: 14.880451267600108, 2: 12.963404915641219, 3: 11.117206295714574, 4: 11.759940188211974, 5: 12.008143366582098}","{0: 10.724119745389517, 1: 17.373372149215164, 2: 11.981320003569934, 3: 12.487671608077806, 4: 13.056285672971695, 5: 16.594050468705852}"
0.2857142857142857,"{0: 4.988939579726762, 1: 6.433669235037806, 2: 8.25778733563107, 3: 5.075673624199782, 4: 3.5887515609973164, 5: 6.841211482090811}","{0: 3.510908902517339, 1: 5.5307272053634655, 2: 9.631278029630261, 3: 4.821391472756635, 4: 3.6257310886599003, 5: 6.317094992377114}","{0: 3.6299695292841956, 1: 6.325608504969827, 2: 9.764206187079518, 3: 4.504938701258664, 4: 4.2249826484889965, 5: 6.662157955141261}","{0: 5.178763425711128, 1: 6.9876783019648885, 2: 7.793458539188478, 3: 4.8518900846440935, 4: 3.450281116632136, 5: 6.969100010724538}"
0.28846153846153844,"{0: 6.013831481659184, 1: 10.524285833891993, 2: 9.46552021032791, 3: 8.609511743072302, 4: 6.543197775539579, 5: 11.604204212295555}","{0: 6.449705129831408, 1: 10.066393803383022, 2: 10.42811048702196, 3: 9.138044578228994, 4: 6.4868573927600846, 5: 10.726097847666164}","{0: 6.9575515196186775, 1: 10.990805948315096, 2: 10.882715529654478, 3: 9.049381646934355, 4: 7.018661856923387, 5: 11.654873364853588}","{0: 5.874921983480396, 1: 10.947622421050248, 2: 9.166803732317995, 3: 9.511763806165757, 4: 7.298623640246357, 5: 11.902578655174082}"
0.29120879120879123,"{0: 10.025070796320115, 1: 11.301883167736381, 2: 13.697509695135222, 3: 10.153437307353963, 4: 17.21596007675983, 5: 13.187675623585154}","{0: 11.66799203028401, 1: 17.447522019775278, 2: 14.051907925652587, 3: 14.959831495766688, 4: 18.10756616902858, 5: 14.948631994365266}","{0: 13.963968106338559, 1: 17.768242199091492, 2: 15.564623825261993, 3: 15.492933921555728, 4: 17.117226812037515, 5: 18.097747273697713}","{0: 15.544277143526298, 1: 21.096343587976044, 2: 11.04050902700436, 3: 17.348023665128306, 4: 18.563477428887364, 5: 15.834971734489859}"
0.293956043956044,"{0: 23.58723671858146, 1: 48.078693594521184, 2: 28.554694586149804, 3: 28.4080516247687, 4: 40.63320243971615, 5: 31.18001856035086}","{0: 17.07687753654654, 1: 37.24343486768279, 2: 27.436663553409314, 3: 34.607505974865575, 4: 40.4818327345116, 5: 27.619298521969295}","{0: 22.982097074547617, 1: 35.78705234685361, 2: 32.312038202835524, 3: 27.358479645267476, 4: 40.01066782418977, 5: 31.17974703542191}","{0: 30.057303202481478, 1: 59.39049591585759, 2: 28.675615417568125, 3: 40.43485459602729, 4: 43.02523970863923, 5: 42.799953719894695}"
0.2967032967032967,"{0: 5.8559540491625235, 1: 10.114226996554367, 2: 10.888071772896279, 3: 7.159428080646029, 4: 8.611361021267529, 5: 9.3503115417585}","{0: 6.828764132300732, 1: 11.855635060696722, 2: 10.859996098656392, 3: 8.15806574363619, 4: 10.517447973003295, 5: 10.866521575730243}","{0: 6.094975218578987, 1: 9.58388347973683, 2: 11.264411354224258, 3: 6.996026939520934, 4: 9.705871642369479, 5: 10.002082804769396}","{0: 8.41415583063846, 1: 12.005353014238612, 2: 11.388419601024918, 3: 9.49913468394963, 4: 8.260784711114605, 5: 9.867939683128421}"
0.29945054945054944,"{0: 17.206497393622218, 1: 23.945659576787687, 2: 21.243081485042673, 3: 16.197931077084657, 4: 18.369454064683083, 5: 19.757162700901677}","{0: 10.941706212934404, 1: 15.9468165761672, 2: 21.075815941948903, 3: 13.646928269048365, 4: 17.51655363441485, 5: 13.433426270784619}","{0: 12.69538105684447, 1: 15.832589601578908, 2: 22.216399966160637, 3: 10.931196611710723, 4: 16.561187324351717, 5: 15.992413315228186}","{0: 13.02418512294866, 1: 24.536878762525962, 2: 19.95796833394493, 3: 15.458265482930264, 4: 19.251555725543266, 5: 18.916454119193805}"
0.3021978021978022,"{0: 9.977538915790447, 1: 5.1549734346371485, 2: 12.064986298174063, 3: 5.090526872816488, 4: 5.5735875702845705, 5: 14.535701636718935}","{0: 8.686765441744306, 1: 5.4699813294372905, 2: 10.3688647697116, 3: 5.985391617206156, 4: 7.036473431414548, 5: 13.716394234582236}","{0: 7.706028545603941, 1: 6.408480039598064, 2: 10.68157938134525, 3: 6.195145726164612, 4: 4.310552842158546, 5: 13.974587827270586}","{0: 14.373370667019742, 1: 6.8610586498312465, 2: 10.268512312913028, 3: 5.287764704746302, 4: 5.977941991003444, 5: 14.579906382594057}"
0.30494505494505497,"{0: 15.10591800311719, 1: 15.395730564410268, 2: 7.134232419126202, 3: 15.302044854242553, 4: 17.70117899819696, 5: 26.493702904265522}","{0: 16.60534119185969, 1: 14.126116793391388, 2: 6.778792974395945, 3: 14.51551439623765, 4: 17.41860361301341, 5: 22.550860612502895}","{0: 16.609334902493966, 1: 13.795338163049843, 2: 8.207338542259173, 3: 15.44655712588013, 4: 17.347687921673124, 5: 23.446904890875302}","{0: 15.50732068239622, 1: 12.173352069192568, 2: 5.626511407003327, 3: 13.506916598848173, 4: 14.500039433740548, 5: 21.665921536294245}"
0.3076923076923077,"{0: 11.308190116766989, 1: 15.144654195627632, 2: 17.493399668123434, 3: 14.993653218666132, 4: 17.017692303565003, 5: 14.953278477181009}","{0: 10.99937900365859, 1: 12.571921568655238, 2: 21.205506380984215, 3: 13.3347923510935, 4: 14.158984710912717, 5: 13.366832713304587}","{0: 11.456815415822438, 1: 11.472433780083154, 2: 23.37221388215311, 3: 14.217449406289562, 4: 12.716966331857021, 5: 14.508922554848269}","{0: 11.550235584676331, 1: 13.407642224841906, 2: 20.303522527816007, 3: 10.785731414009167, 4: 15.934030359393166, 5: 14.921132383330935}"
0.31043956043956045,"{0: 11.723564412005189, 1: 12.351079475590925, 2: 10.204867854620678, 3: 10.690753497094091, 4: 9.159552601690253, 5: 13.946460956192318}","{0: 11.70758888673422, 1: 13.282860590988685, 2: 8.423183644415625, 3: 10.298199669553513, 4: 8.280905855012524, 5: 12.667156398594113}","{0: 10.930108162774033, 1: 15.271086017005276, 2: 9.591683599595061, 3: 10.966919860121537, 4: 8.025711855482253, 5: 12.939405419209493}","{0: 10.824510350290392, 1: 11.753064495571778, 2: 9.205959500816565, 3: 11.170713514843504, 4: 8.902848478358486, 5: 14.692843970788676}"
0.3131868131868132,"{0: 18.17883141939935, 1: 35.74576678166736, 2: 19.606169696568458, 3: 26.05542833221466, 4: 21.46184623900013, 5: 32.24840651289266}","{0: 9.1234715260599, 1: 37.961036852996706, 2: 21.900970878953366, 3: 26.79121764303862, 4: 24.84356975369517, 5: 34.40252934497028}","{0: 13.650512134323334, 1: 38.83626683102382, 2: 24.894525295325973, 3: 27.250162667757394, 4: 22.826329557157344, 5: 34.43327193192345}","{0: 15.064179191339765, 1: 36.62010798310718, 2: 15.59844971762109, 3: 26.95531709798364, 4: 29.066272140660992, 5: 32.1153588075613}"
0.3159340659340659,"{0: 9.317273518842727, 1: 14.722405021191861, 2: 10.475857682193386, 3: 12.36377872987161, 4: 11.02586805776148, 5: 14.509209754411343}","{0: 8.357921578879004, 1: 12.074482718232105, 2: 8.587912976608644, 3: 11.448456467804016, 4: 10.79951728203068, 5: 11.042390946451283}","{0: 9.05376911983102, 1: 12.293424230904407, 2: 10.252335328788757, 3: 10.436855050796549, 4: 10.476009206960493, 5: 12.258416263535985}","{0: 9.89173763336763, 1: 16.183288730774603, 2: 11.749248100560788, 3: 12.741025840287255, 4: 11.567761308172736, 5: 15.681344959331565}"
0.31868131868131866,"{0: 1.9490884393588248, 1: 6.698478103411561, 2: 4.098472532746635, 3: 5.615400957925822, 4: 3.0081566148897716, 5: 5.3110787948520795}","{0: 3.2462648662903155, 1: 7.491807574106507, 2: 5.152295697852487, 3: 5.757026025796814, 4: 4.234652996225403, 5: 4.835350053695178}","{0: 2.0977277443560993, 1: 7.651967202557132, 2: 4.1531525918734715, 3: 5.996684062221239, 4: 2.5937037589998906, 5: 5.117071869523288}","{0: 1.7497046106788645, 1: 6.376121506488431, 2: 3.0915992530383445, 3: 4.7671318731196095, 4: 2.1457042903100665, 5: 4.6621220484929715}"
0.32142857142857145,"{0: 5.156129557684133, 1: 12.41472350518784, 2: 8.612161759912055, 3: 8.440295558339372, 4: 8.830763309425649, 5: 7.475947032754681}","{0: 5.242567826003094, 1: 11.085996171923906, 2: 9.750358185781414, 3: 8.123165960525679, 4: 8.039462274897234, 5: 6.091624721112586}","{0: 5.247208560217785, 1: 12.231399486125786, 2: 10.45084456856471, 3: 8.661221499907224, 4: 7.701238897042153, 5: 7.955736342936236}","{0: 3.984463329123421, 1: 13.73712155699282, 2: 8.587712698054478, 3: 7.583456959086196, 4: 9.189541441755754, 5: 9.775440088809226}"
0.3241758241758242,"{0: 6.95179725344641, 1: 17.910733552016833, 2: 12.795251163643204, 3: 12.372504818881653, 4: 13.981637224841334, 5: 15.951886350732842}","{0: 7.406317853987537, 1: 15.291648408625903, 2: 14.324303057687926, 3: 12.393829317813308, 4: 12.544417078570122, 5: 13.816026788893497}","{0: 8.078327288800539, 1: 17.09920173500155, 2: 16.52027286424953, 3: 12.3598206645391, 4: 12.696933449461788, 5: 15.04045053819783}","{0: 9.06089287563802, 1: 19.257683360973164, 2: 13.229861232558184, 3: 14.298940608842015, 4: 13.894310600985229, 5: 18.105478437725928}"
0.3269230769230769,"{0: 17.182129841413857, 1: 43.72775981074464, 2: 19.989589897027464, 3: 20.060956087280484, 4: 48.49359366527045, 5: 17.41081686875417}","{0: 9.889580085703244, 1: 30.125920694876186, 2: 20.513669133658585, 3: 34.81109686958098, 4: 47.235143811894005, 5: 24.813684138245478}","{0: 16.914038802420666, 1: 27.37056901830721, 2: 27.096563422549927, 3: 23.35049002349134, 4: 47.29474034160566, 5: 27.757044709409005}","{0: 19.769908602290243, 1: 38.44525222756845, 2: 16.717866166204914, 3: 40.389108432321294, 4: 47.84209161302544, 5: 37.31874845354861}"
0.3296703296703297,"{0: 13.26906254350667, 1: 9.3669687885635, 2: 15.310347955174892, 3: 9.930722976598801, 4: 8.753660111292232, 5: 11.24113223940987}","{0: 12.847805026458898, 1: 12.002147949754514, 2: 15.668023779772755, 3: 9.382681851106955, 4: 9.240491719127457, 5: 12.133582585516951}","{0: 13.287960026675728, 1: 13.119725851142308, 2: 18.28118543632095, 3: 9.721984559411972, 4: 10.579484653814637, 5: 12.238485728513862}","{0: 15.76363304952407, 1: 11.195250313637427, 2: 15.024205002871689, 3: 9.271930686254622, 4: 11.908432865547093, 5: 13.515315055978311}"
0.3324175824175824,"{0: 12.49438308387251, 1: 16.17729211744103, 2: 21.772510045494954, 3: 8.210566376095363, 4: 10.443290800018962, 5: 8.008609842886905}","{0: 9.949830307306486, 1: 11.595919256178666, 2: 26.347125648212508, 3: 7.9502856580143035, 4: 12.784028150779244, 5: 11.712966231835841}","{0: 8.484098378499004, 1: 13.463881442796245, 2: 25.37452810368969, 3: 10.909223925923293, 4: 15.87894780496326, 5: 11.022302218178812}","{0: 11.120477263885173, 1: 18.528771523378104, 2: 23.80178785854411, 3: 8.026663058251843, 4: 4.393762051544945, 5: 9.453050002743067}"
0.33516483516483514,"{0: 15.413299783270507, 1: 41.11391228055059, 2: 21.15599663022931, 3: 33.53070188343982, 4: 31.241900736554737, 5: 34.16240183382837}","{0: 13.486646810934507, 1: 38.89075169421253, 2: 18.94429284346725, 3: 34.49640440277195, 4: 35.24200911890319, 5: 29.6217256110671}","{0: 17.053154095999766, 1: 37.44710711662946, 2: 23.089758592046635, 3: 28.548787635606573, 4: 33.629269252395346, 5: 30.43158484364032}","{0: 14.082380421997414, 1: 52.59934442531243, 2: 24.24910618701698, 3: 38.85904330711542, 4: 39.17109029594536, 5: 37.152568222846504}"
0.33791208791208793,"{0: 8.88394138798976, 1: 19.806521502010074, 2: 9.45816133600615, 3: 13.747703216304469, 4: 14.551473894757754, 5: 14.616498134165285}","{0: 13.309312930618972, 1: 20.27726028234648, 2: 14.774764196311512, 3: 14.939909892143445, 4: 15.392402558904319, 5: 16.424074519992416}","{0: 12.565676025456757, 1: 20.953964951760828, 2: 14.89542298207799, 3: 15.628658308658013, 4: 13.378901842273258, 5: 15.232469040640169}","{0: 9.611879675111492, 1: 17.426124808894272, 2: 5.705326602979813, 3: 15.159796435475513, 4: 20.303296800058654, 5: 12.751137688295513}"
0.3406593406593407,"{0: 10.179222346739465, 1: 14.93834470165428, 2: 11.83190787394046, 3: 11.358844860080236, 4: 12.75473793054758, 5: 12.612768402157116}","{0: 9.445905364677635, 1: 11.811815388916635, 2: 11.226832374087993, 3: 10.820612301912028, 4: 11.096708619232503, 5: 8.647496887198008}","{0: 10.568613657181759, 1: 12.040033665492226, 2: 13.323321881366894, 3: 10.60383164233435, 4: 12.055515952955947, 5: 9.831376732573707}","{0: 12.07889699709461, 1: 15.846843360925266, 2: 12.67914583629287, 3: 12.64449508096008, 4: 13.706131010671362, 5: 12.463882623296406}"
0.3434065934065934,"{0: 2.9196496716209905, 1: 2.3159016893179736, 2: 2.644993287760485, 3: 4.067085492637491, 4: 4.071507172298508, 5: 4.5981285228268725}","{0: 3.155775774241619, 1: 2.0400661329432634, 2: 3.365440769568529, 3: 4.867947818079804, 4: 4.187781235252179, 5: 3.943749579987601}","{0: 2.6411245278432878, 1: 2.047022951141093, 2: 4.103410341825966, 3: 5.010863365642847, 4: 3.465066460071749, 5: 4.013696794030626}","{0: 2.9134766269539, 1: 2.4048829364022892, 2: 3.1979301822263473, 3: 4.258610127786658, 4: 4.108897214727456, 5: 4.688145425806743}"
0.3461538461538461,"{0: 8.00061963026133, 1: 11.277661014295152, 2: 6.51563636448048, 3: 7.949146968345095, 4: 10.533373709557594, 5: 10.22022965906234}","{0: 6.230249660148907, 1: 11.793230036189808, 2: 8.008037462357727, 3: 6.577764466158045, 4: 7.060915754860235, 5: 7.606550757394761}","{0: 3.735189409492528, 1: 12.75736840674598, 2: 9.216809452497401, 3: 6.843626680526435, 4: 3.929182792649728, 5: 6.987342908395193}","{0: 4.403930108338059, 1: 6.312761387198987, 2: 6.103244099794823, 3: 6.647223699981933, 4: 6.230803104754106, 5: 5.261847685773479}"
0.3489010989010989,"{0: 9.729754340691775, 1: 11.498551578908067, 2: 18.58497075834628, 3: 10.058597754787618, 4: 12.866550558812547, 5: 12.844788786738782}","{0: 3.1122936403980064, 1: 13.106833678765003, 2: 19.110354304116278, 3: 6.5333938317639975, 4: 5.493890203694785, 5: 12.54913299441885}","{0: 3.5482073085073247, 1: 14.764180499873401, 2: 20.754106508766156, 3: 8.67602909622066, 4: 5.189019129788523, 5: 13.332083007373075}","{0: 6.963559743743406, 1: 9.805497687072396, 2: 15.48561265559856, 3: 8.613757023030647, 4: 8.56011153393065, 5: 10.380615364558665}"
0.3516483516483517,"{0: 18.719761771957106, 1: 21.306501623459404, 2: 6.701176924102555, 3: 15.934651399412447, 4: 15.99439450258358, 5: 17.03898738451646}","{0: 17.881285633257207, 1: 13.726455686285336, 2: 5.6975264721820915, 3: 13.546125769973713, 4: 15.262465877564955, 5: 8.724939820223032}","{0: 16.540104245628413, 1: 11.486367892689637, 2: 5.232149666506002, 3: 12.33046486463746, 4: 14.639681110379449, 5: 11.47354401998025}","{0: 20.465084140436957, 1: 21.408013854860506, 2: 6.520413851806491, 3: 12.467425478397109, 4: 13.98762944702406, 5: 17.38668475600943}"
0.3543956043956044,"{0: 14.146090722035161, 1: 14.169585483625854, 2: 11.239626260369713, 3: 8.239003263047836, 4: 13.018812361680292, 5: 12.007393617140286}","{0: 12.71216210386786, 1: 13.155912859141242, 2: 13.128813220050251, 3: 7.845621571531175, 4: 12.506255652495204, 5: 11.247263551637646}","{0: 11.438602892135522, 1: 12.781325934001243, 2: 13.394347941473804, 3: 8.184496472617482, 4: 7.660872198017795, 5: 8.861225399820256}","{0: 11.369252480522915, 1: 10.602417269575593, 2: 12.032264578605668, 3: 8.032061429530035, 4: 13.047250276741654, 5: 12.567020740616721}"
0.35714285714285715,"{0: 7.328057068637175, 1: 14.49482833494497, 2: 4.442897571608938, 3: 12.497347656287996, 4: 12.708453366797464, 5: 10.343994143921002}","{0: 4.9934042913634, 1: 13.619276666845359, 2: 4.198991991686357, 3: 11.967162484153333, 4: 12.421495524187899, 5: 7.846950551665134}","{0: 5.982191482762704, 1: 12.622898748506627, 2: 3.6353448419297307, 3: 9.228927911598722, 4: 12.461531021537777, 5: 8.579018991853461}","{0: 7.948227684385825, 1: 17.571828887398347, 2: 4.835274347802966, 3: 12.803437876785388, 4: 12.989658182098088, 5: 13.637486637724137}"
0.3598901098901099,"{0: 8.067406794873309, 1: 17.09776339668992, 2: 14.463245568496504, 3: 14.537360013001202, 4: 16.169756840360957, 5: 14.223470167624422}","{0: 6.541478602306456, 1: 15.634021916083915, 2: 13.928826754152208, 3: 14.255302441387757, 4: 15.05523101575415, 5: 11.84249281575268}","{0: 8.325360054351618, 1: 16.253210331366184, 2: 15.617532788320188, 3: 13.833713115799823, 4: 16.4186276547445, 5: 13.289028793337245}","{0: 8.634341612786725, 1: 20.206837298718593, 2: 14.606765121104631, 3: 15.514803152885131, 4: 16.264479199023576, 5: 16.08334237020534}"
0.3626373626373626,"{0: 10.38040610426355, 1: 7.2049584069494905, 2: 17.873715803508315, 3: 3.4072553227959275, 4: 10.348325827638037, 5: 7.413632557003866}","{0: 9.46234591499931, 1: 7.578186369825783, 2: 18.286529676358384, 3: 7.475728137973533, 4: 11.405348775825287, 5: 9.659192569169125}","{0: 7.6708397064918445, 1: 7.297758834875292, 2: 19.037362414354384, 3: 7.118403426719244, 4: 8.67679782402263, 5: 9.079685659075139}","{0: 6.961348286990581, 1: 8.53386631393161, 2: 18.313106792390066, 3: 4.2584546304605135, 4: 8.310808343520534, 5: 7.356628103684379}"
0.36538461538461536,"{0: 5.329964395775887, 1: 11.74779929615096, 2: 27.5768761972855, 3: 8.412679385603333, 4: 13.842803256735968, 5: 16.439233879121936}","{0: 10.008399801948315, 1: 16.80527039109806, 2: 27.949937398787387, 3: 14.583182424441793, 4: 18.0775607493831, 5: 17.71577253015163}","{0: 7.1468824307651, 1: 16.116433422304436, 2: 28.170905426625545, 3: 13.627358078391014, 4: 17.2119984903829, 5: 17.412190650838014}","{0: 5.847527356170533, 1: 13.356538858279524, 2: 25.76631426986734, 3: 12.413405199058984, 4: 15.161411443743397, 5: 17.578274389157333}"
0.36813186813186816,"{0: 15.517020850173262, 1: 13.18714931842594, 2: 20.868080069820092, 3: 9.417348704556204, 4: 10.4202453003018, 5: 9.032083356940802}","{0: 15.41669173192912, 1: 16.367830758658723, 2: 14.316118420168511, 3: 10.197078068581265, 4: 12.689110976114227, 5: 8.52618837746965}","{0: 10.697416415846357, 1: 10.589158423271346, 2: 14.287883428071165, 3: 8.578500214798332, 4: 9.567742517817477, 5: 8.92262230827592}","{0: 15.535806209078514, 1: 15.656828198333836, 2: 17.66157103374096, 3: 9.027471868085982, 4: 11.197911006101789, 5: 9.247250709766782}"
0.3708791208791209,"{0: 7.3031178631917415, 1: 11.391682229581837, 2: 10.78558931978313, 3: 8.429071345781901, 4: 9.035712973872467, 5: 10.430682585161357}","{0: 7.214397916895711, 1: 9.636993055152393, 2: 12.314211168632458, 3: 9.1447101436471, 4: 10.449357323329897, 5: 9.691310113977746}","{0: 6.709706685149521, 1: 10.105614931492163, 2: 12.479242934837368, 3: 7.7058752754173305, 4: 7.498234209999313, 5: 8.798345536962469}","{0: 5.799000305484884, 1: 13.764988649888176, 2: 10.657528426537327, 3: 8.580695408173563, 4: 9.305683935745646, 5: 13.096722593528332}"
0.3736263736263736,"{0: 11.37536410273853, 1: 20.615940850507855, 2: 25.219278898956315, 3: 17.016495774723932, 4: 15.827094421550782, 5: 17.158042527106048}","{0: 10.693954821891717, 1: 18.64615498801043, 2: 20.227370898457217, 3: 15.497603888687786, 4: 14.127150697785257, 5: 13.313600329001437}","{0: 11.647977328594553, 1: 18.83977957968462, 2: 20.660816658249033, 3: 15.58923661577126, 4: 12.862149074429002, 5: 13.617692246804582}","{0: 17.656487818457908, 1: 27.189544650371726, 2: 24.894086321140897, 3: 17.329598213945058, 4: 14.89369202041416, 5: 18.32006143368087}"
0.3763736263736264,"{0: 7.125142998424126, 1: 8.266140731662055, 2: 17.54680150231331, 3: 7.975260939564615, 4: 6.438744648848895, 5: 4.091167524723379}","{0: 5.541153786242372, 1: 7.0277487598295, 2: 16.740917135108326, 3: 7.796461935760746, 4: 6.281540666341948, 5: 3.175440705654278}","{0: 4.7775338370392415, 1: 7.077200832740455, 2: 16.803878614084358, 3: 7.606112870463961, 4: 5.846110443484663, 5: 3.678303565200278}","{0: 6.461328231446815, 1: 6.811768181205383, 2: 18.013700697618937, 3: 6.3069021614228555, 4: 4.837240745707752, 5: 3.009550154536416}"
0.3791208791208791,"{0: 12.8182240080735, 1: 24.563779677349363, 2: 14.407621256642939, 3: 19.356170743901153, 4: 17.78709149221403, 5: 19.42020226927095}","{0: 9.735586496497808, 1: 20.531495747814706, 2: 11.340071148134166, 3: 17.404658695473252, 4: 16.675791538634623, 5: 14.351495225016922}","{0: 11.341240043759925, 1: 21.24812201797232, 2: 13.311975128566043, 3: 16.428726482505777, 4: 16.375158071738376, 5: 15.987049676567509}","{0: 9.431036384832122, 1: 25.187388042440425, 2: 14.913640343541497, 3: 20.26585122326981, 4: 18.503763312478004, 5: 23.054797071227636}"
0.38186813186813184,"{0: 14.97404471771233, 1: 32.270304742984635, 2: 10.44414573698562, 3: 22.215561298356263, 4: 16.341069602980134, 5: 16.169989336580365}","{0: 15.563639665662913, 1: 28.02284195235191, 2: 9.758537122310393, 3: 19.761768024636137, 4: 21.205534735257267, 5: 15.185956295239517}","{0: 18.398099014726014, 1: 31.693017027426304, 2: 11.585751765228991, 3: 22.14152498609111, 4: 18.647764709389758, 5: 18.02493970446812}","{0: 19.050285737393633, 1: 31.59208586659081, 2: 10.71667110616861, 3: 21.737357587629127, 4: 24.642184737954086, 5: 17.715342905889266}"
