,K,I,KNN,GP
0.03021978021978022,"{0: 6.2970320866752845, 1: 9.830536971384477, 2: 3.859809136742573, 3: 9.403556367428045, 4: 7.314902026876648, 5: 6.665856168995672}","{0: 5.935513860157294, 1: 9.720308044288423, 2: 4.887763025307619, 3: 9.52862303222604, 4: 7.071200701487914, 5: 6.265826876852324}","{0: 6.32540916246184, 1: 9.156297404801656, 2: 5.489739813978918, 3: 8.966987581081675, 4: 7.97095370839868, 5: 6.273394939851487}","{0: 6.243716497825372, 1: 11.328325399359722, 2: 3.929562536739183, 3: 9.134744383196372, 4: 7.435665062621478, 5: 7.252362248466871}"
0.03296703296703297,"{0: 15.025809639617718, 1: 36.78664660123204, 2: 8.13117663477411, 3: 25.400757202632118, 4: 28.629853762891234, 5: 21.405814102689924}","{0: 11.861176925808497, 1: 27.53354747849797, 2: 6.402620729709853, 3: 23.177641344089814, 4: 27.78274249749129, 5: 16.00886902686384}","{0: 13.539418599733125, 1: 22.747684842324574, 2: 7.929588693867195, 3: 12.89464010884948, 4: 28.903525714543278, 5: 15.095928749055}","{0: 14.151230477885687, 1: 24.061901583942923, 2: 10.05574847589381, 3: 21.04029679650591, 4: 29.43557804796932, 5: 25.831319330647133}"
0.03571428571428571,"{0: 5.341168749181329, 1: 5.643568153270881, 2: 3.0157202874805757, 3: 3.058880452668217, 4: 11.525500408175672, 5: 4.391101962185679}","{0: 4.996914449361867, 1: 8.907497956965253, 2: 2.7776891176560587, 3: 9.608159997929103, 4: 12.08874853115105, 5: 3.8300004108811914}","{0: 4.8906701850875525, 1: 5.300217634940751, 2: 2.9833599296700406, 3: 3.8561943276635895, 4: 11.060506120676168, 5: 2.9608582863172614}","{0: 5.175523505417363, 1: 3.8782455916599723, 2: 3.548591303934249, 3: 2.7086981816610716, 4: 11.921211049408004, 5: 4.233725019655432}"
0.038461538461538464,"{0: 6.324915563537383, 1: 6.983340841338105, 2: 13.698309560039093, 3: 12.968211826786826, 4: 12.555768626815707, 5: 8.723159364107644}","{0: 5.423341269014818, 1: 8.322013652575889, 2: 11.986091689348338, 3: 14.560531662177993, 4: 13.068047457128046, 5: 10.404028127902652}","{0: 5.126831397563423, 1: 8.180059791610844, 2: 13.362914524610941, 3: 11.47015585441513, 4: 12.248002355897132, 5: 10.390727439964902}","{0: 7.240994784674132, 1: 8.551589540035447, 2: 11.59516847728525, 3: 13.261699386357183, 4: 11.294153679188772, 5: 9.91259699867309}"
0.04120879120879122,"{0: 13.167704512580489, 1: 14.208705322317382, 2: 10.019023425975398, 3: 16.353286524248745, 4: 11.561531870591212, 5: 7.779409275690124}","{0: 13.245265904123867, 1: 14.758815864593121, 2: 9.462293220893132, 3: 16.712242694952632, 4: 10.149208215637794, 5: 7.159610974049884}","{0: 14.094067297269806, 1: 15.231488391097814, 2: 8.492677314512038, 3: 16.308804613251777, 4: 11.750940700607904, 5: 6.435627441891546}","{0: 16.08738954753587, 1: 14.398472837884054, 2: 4.734753201917482, 3: 16.235775743359806, 4: 10.551337460907446, 5: 6.618431230710582}"
0.04395604395604396,"{0: 6.4630266843358015, 1: 7.157493557953094, 2: 8.984288136488106, 3: 8.893342531256332, 4: 8.873292928936905, 5: 6.992718844084685}","{0: 7.370661977327538, 1: 9.039198366965596, 2: 10.29432450634265, 3: 8.909009174554834, 4: 10.408871031851513, 5: 6.060328004370517}","{0: 6.400536157802717, 1: 8.984281452081776, 2: 9.003575395711978, 3: 9.502210327550099, 4: 10.31965841439844, 5: 4.9461942789239615}","{0: 7.3532287807824845, 1: 6.663115909443815, 2: 8.96796452079046, 3: 9.124149406000582, 4: 8.817617600815815, 5: 7.470710406000845}"
0.046703296703296704,"{0: 6.23986498292709, 1: 20.152189727631793, 2: 7.951962013341632, 3: 12.876712848434325, 4: 10.889642076078117, 5: 11.048205216449295}","{0: 5.540079368241417, 1: 17.85582048910134, 2: 10.874900056472892, 3: 9.888463035495288, 4: 10.68441692905092, 5: 9.108734562949305}","{0: 6.0676922747557684, 1: 18.61267859660628, 2: 13.338413005998751, 3: 9.157915022474205, 4: 10.222231587579811, 5: 7.381954511181588}","{0: 8.421908171927926, 1: 17.397765465709064, 2: 9.101751904979045, 3: 10.007764731740712, 4: 14.068733265959315, 5: 12.674923958289293}"
0.04945054945054945,"{0: 13.836937826981984, 1: 19.0635799904152, 2: 12.961554091343068, 3: 13.58112182836015, 4: 10.588365665383385, 5: 20.946482615887174}","{0: 8.97436307197484, 1: 11.887721214876827, 2: 15.27837623738058, 3: 9.828501110684215, 4: 7.791670289414675, 5: 19.578998944614398}","{0: 9.749923012369498, 1: 10.702909984044386, 2: 16.435520855080746, 3: 10.197106581469278, 4: 7.4178354336896115, 5: 19.130876211345623}","{0: 15.417087514656622, 1: 17.637762888738635, 2: 11.892944534399868, 3: 8.565670068492102, 4: 9.150363001749042, 5: 20.558673081972604}"
0.0521978021978022,"{0: 30.312680535017734, 1: 49.4764444717555, 2: 23.906598572852843, 3: 33.382570203994824, 4: 19.09072422659116, 5: 31.829975196678657}","{0: 24.282771754096686, 1: 30.905032105803336, 2: 22.57401420393042, 3: 21.29343349026848, 4: 14.865685378374106, 5: 21.025306379619888}","{0: 27.278442423223957, 1: 34.28482549794571, 2: 22.759953129203545, 3: 22.71494495273099, 4: 14.205930758536857, 5: 24.736980149913336}","{0: 30.683858324130128, 1: 38.94471156922751, 2: 23.416381152475676, 3: 30.79747190308408, 4: 16.330656390041295, 5: 40.4600064039294}"
0.054945054945054944,"{0: 5.118921001138476, 1: 13.101978833223354, 2: 5.309427359542692, 3: 6.707630815467978, 4: 4.274382375489135, 5: 8.664615869279897}","{0: 6.414192579548402, 1: 17.793568566738045, 2: 6.898167739722945, 3: 5.810251101211719, 4: 4.624808814295925, 5: 9.268307056264607}","{0: 4.9877696775238825, 1: 15.433195433194804, 2: 7.6474198266763, 3: 7.289578105785865, 4: 4.891160754050333, 5: 9.062437685707401}","{0: 5.543505065111553, 1: 10.88930613008879, 2: 6.655688818638811, 3: 8.275516205667422, 4: 3.1681679824980824, 5: 7.628352731527949}"
0.0576923076923077,"{0: 17.378789315694988, 1: 22.859536977922787, 2: 22.848097307278884, 3: 16.730943274180994, 4: 19.494446260559307, 5: 11.333921405718758}","{0: 14.953856446802451, 1: 24.849794146182443, 2: 22.850907407698667, 3: 15.249137520146721, 4: 18.606417054685885, 5: 9.592602913178373}","{0: 16.341536291074718, 1: 25.296346983615862, 2: 24.56181286575804, 3: 16.746539798187186, 4: 20.041487138732634, 5: 11.11424063815289}","{0: 17.058837567761184, 1: 24.924676433772834, 2: 22.27168424008463, 3: 16.735193690290394, 4: 19.393443286652428, 5: 13.068034142428981}"
0.06043956043956044,"{0: 14.97904012361865, 1: 37.98555808811832, 2: 4.333160375943414, 3: 5.61591831885179, 4: 12.151047773984901, 5: 14.767468169111797}","{0: 8.123372333984317, 1: 37.00319057042683, 2: 3.285850858154103, 3: 6.325178203966733, 4: 11.610236454187831, 5: 12.470923594940018}","{0: 11.014336050869012, 1: 36.32772564149153, 2: 5.754613016174772, 3: 6.82180203674921, 4: 11.49035376935291, 5: 11.685247981507716}","{0: 11.214537144642142, 1: 37.510094513320844, 2: 8.614273765884825, 3: 11.600579306604438, 4: 11.337099271617078, 5: 18.246845124759123}"
0.06318681318681317,"{0: 9.8924541384295, 1: 25.027026770980445, 2: 5.467864073250392, 3: 6.777217120861649, 4: 3.2970613143824634, 5: 5.829048139060211}","{0: 12.937651994351302, 1: 24.917008224582773, 2: 8.854671776108722, 3: 7.046217295199167, 4: 7.921708588322781, 5: 5.9568570790422415}","{0: 9.939567347965449, 1: 24.225732919244667, 2: 8.7638670564102, 3: 8.502068675840428, 4: 10.015186531590503, 5: 6.450226424973015}","{0: 8.669134865525308, 1: 28.034301311995794, 2: 12.973851293989648, 3: 8.97779716342151, 4: 3.8252750662949015, 5: 6.551549229706996}"
0.06593406593406594,"{0: 7.687292554972042, 1: 20.02494624840944, 2: 7.9592289790331, 3: 15.537301508174668, 4: 13.944951627775676, 5: 8.35190873366753}","{0: 9.059096885596448, 1: 16.63080580565038, 2: 8.724919457416162, 3: 16.263580072903007, 4: 14.617982679589133, 5: 9.466433195399178}","{0: 8.327107570077068, 1: 14.520861519856343, 2: 10.623417991396561, 3: 12.125062311578873, 4: 12.469727919514204, 5: 7.662792600437878}","{0: 6.568899976284974, 1: 16.729759635354277, 2: 10.105515026636315, 3: 12.405846878574057, 4: 12.045214797462002, 5: 7.67980374236535}"
0.06868131868131869,"{0: 3.211022373332009, 1: 6.943209985568686, 2: 4.946152055583332, 3: 13.332280616579375, 4: 9.35650322936864, 5: 6.033646636874155}","{0: 5.166500794054181, 1: 9.831278431393539, 2: 4.8928632604199835, 3: 13.252300601319423, 4: 9.919367040324698, 5: 6.97203056216365}","{0: 4.906453824097126, 1: 8.392941010500703, 2: 7.3593063269206045, 3: 12.07645989528885, 4: 9.729575206352889, 5: 6.476787135298514}","{0: 4.427092290501309, 1: 8.385897280643519, 2: 5.213805798979264, 3: 13.301261349200315, 4: 9.747530323552793, 5: 7.3675232608827415}"
0.07142857142857142,"{0: 8.135463064167553, 1: 9.927009340000946, 2: 12.145985350833678, 3: 15.67934841518158, 4: 12.890990337057849, 5: 9.787175854367014}","{0: 9.885830187735971, 1: 14.350361393892467, 2: 9.8284293372834, 3: 17.14986901733157, 4: 13.761516404226727, 5: 10.116754161270025}","{0: 9.533077073259639, 1: 10.04195459391735, 2: 12.096354096542896, 3: 13.555880531298172, 4: 13.954389085177223, 5: 9.38439613860006}","{0: 8.96365311146368, 1: 14.946031521989298, 2: 10.024045644114493, 3: 16.443358233218735, 4: 14.953352987566968, 5: 9.71108160032193}"
0.07417582417582418,"{0: 6.087471430703072, 1: 7.432663385625491, 2: 5.4447089035684515, 3: 11.038725956379492, 4: 10.333959668262043, 5: 8.290207057568747}","{0: 7.521013271185121, 1: 8.671478436558317, 2: 6.836488963906734, 3: 10.498463303812676, 4: 8.625949082702547, 5: 8.303807754459864}","{0: 6.716640360321981, 1: 9.441897724285962, 2: 8.998733299105952, 3: 11.30085591269005, 4: 8.402976456588945, 5: 8.57574934301353}","{0: 5.589672835344608, 1: 7.334190199380885, 2: 4.523146999374305, 3: 11.329967987857556, 4: 9.378167412326992, 5: 7.837410358527252}"
0.07692307692307693,"{0: 11.038267555238049, 1: 16.102039299520897, 2: 7.1944891510890665, 3: 14.255042046421583, 4: 12.89944111206435, 5: 14.118514810382123}","{0: 7.559457937809851, 1: 17.83724856645793, 2: 9.278797694009537, 3: 12.275114005504268, 4: 10.873691042248437, 5: 13.629526747326105}","{0: 9.989305430453005, 1: 20.118642490179603, 2: 11.482503235426803, 3: 14.92447266603471, 4: 10.302722708450819, 5: 14.385298395790457}","{0: 11.769153147544658, 1: 20.221415803224293, 2: 5.821544480655047, 3: 14.610390535572687, 4: 14.819128925814077, 5: 15.557709110166337}"
0.07967032967032966,"{0: 20.770602155132515, 1: 22.357201469703828, 2: 11.46197923987135, 3: 12.946544759985558, 4: 12.074587650673255, 5: 14.788339464843853}","{0: 23.85498422226327, 1: 19.632395442566143, 2: 14.966054751605883, 3: 12.479663349316334, 4: 11.519258926170435, 5: 13.36147885764824}","{0: 22.301576574870932, 1: 20.792189799795246, 2: 15.653294179030873, 3: 14.488913179388874, 4: 10.336385308621642, 5: 12.799479575556123}","{0: 21.588302311776715, 1: 21.74586887393897, 2: 13.34346685888226, 3: 13.493230473808167, 4: 14.151219959991296, 5: 12.739522790987762}"
0.08241758241758243,"{0: 9.757033352754576, 1: 16.54650135529108, 2: 8.135122088954956, 3: 14.891401742611741, 4: 15.42988687477208, 5: 10.959092320178108}","{0: 10.76767820939516, 1: 17.73116393889629, 2: 8.091689312750269, 3: 14.009060343874635, 4: 13.873068847125221, 5: 10.889945099141869}","{0: 10.275163358467703, 1: 17.24725183306608, 2: 10.567029958263888, 3: 13.441218654952566, 4: 13.330403302697423, 5: 10.04839385058369}","{0: 5.445815866325738, 1: 17.34049096365073, 2: 6.603659410832648, 3: 13.852315690576507, 4: 14.857159607353513, 5: 13.163726645749792}"
0.08516483516483518,"{0: 8.198209279618073, 1: 13.946203339978915, 2: 7.910069160702998, 3: 11.490927551285324, 4: 8.716382079525474, 5: 10.439341258787172}","{0: 7.754900241136068, 1: 11.211557824945254, 2: 6.594338332512458, 3: 10.115251442022101, 4: 9.368105696018308, 5: 7.086608372754525}","{0: 8.88314168637265, 1: 10.864141599746102, 2: 6.516842454789093, 3: 8.986905578521503, 4: 8.874495783029818, 5: 7.9744397618385685}","{0: 9.070635061873825, 1: 13.964532497459258, 2: 9.195168911462826, 3: 11.353879911916403, 4: 10.571101558078174, 5: 10.522409393192437}"
0.08791208791208792,"{0: 4.015512833597751, 1: 3.417450674405371, 2: 4.033186435035257, 3: 4.967044240145043, 4: 1.9933492418064398, 5: 4.599315357908147}","{0: 5.3245462012332325, 1: 6.076604344051555, 2: 2.9354429260460964, 3: 5.617026651199106, 4: 1.4850369901084124, 5: 5.419656750933892}","{0: 4.519102746873011, 1: 6.711588713524484, 2: 2.78396812242121, 3: 5.771240934090298, 4: 1.6633345376532012, 5: 4.225870000420109}","{0: 4.515969773304987, 1: 3.326241703618672, 2: 3.8851244295683824, 3: 4.920109519574562, 4: 2.1984571531643455, 5: 4.586589621291565}"
0.09065934065934066,"{0: 8.933337538794769, 1: 10.264173239815745, 2: 5.145497019073255, 3: 13.033399899850442, 4: 5.622965098066413, 5: 7.876310734478146}","{0: 8.651002643901583, 1: 11.159048900473435, 2: 6.073513462497995, 3: 12.854810228165777, 4: 11.051355782555227, 5: 5.443783968566552}","{0: 9.704102349773185, 1: 11.557024736474109, 2: 6.590817218236253, 3: 11.567209602813014, 4: 9.373250830785798, 5: 7.121477136560469}","{0: 8.692398092565913, 1: 14.911956857586983, 2: 7.791311966855971, 3: 13.562067384454704, 4: 10.714545951045599, 5: 10.24423769836379}"
0.0934065934065934,"{0: 4.489700460704031, 1: 4.924770038699209, 2: 4.4061299274059715, 3: 7.970784104536822, 4: 7.573183204611443, 5: 3.2188325959652064}","{0: 4.981863683002969, 1: 4.700794072780173, 2: 4.819016744750493, 3: 8.629823688501023, 4: 7.747843521972679, 5: 4.199384978562792}","{0: 6.233584326169288, 1: 6.195342309054988, 2: 5.874777140728344, 3: 8.916329876036915, 4: 7.622260802057804, 5: 4.426312105356284}","{0: 5.980007528935337, 1: 5.145113336877966, 2: 5.079139207264485, 3: 9.469622677572362, 4: 8.424875864770764, 5: 4.540738475859703}"
0.09615384615384616,"{0: 7.541640732908972, 1: 9.73096017441619, 2: 5.7604814644701605, 3: 17.376144414494064, 4: 1.4827799889254025, 5: 4.632290920964715}","{0: 5.2921861787318445, 1: 8.945904317048083, 2: 7.309356302234491, 3: 16.58825620303816, 4: 5.971952883266415, 5: 4.029063254438705}","{0: 6.650723204215339, 1: 10.717060758574569, 2: 10.299978611490891, 3: 17.563116029012868, 4: 7.907018450516158, 5: 4.846500007810172}","{0: 5.017399583761261, 1: 10.461335297097987, 2: 5.935159494819524, 3: 18.418249970498476, 4: 6.497379153719021, 5: 3.804971968767777}"
0.0989010989010989,"{0: 13.45082471567676, 1: 19.651864872028373, 2: 11.81328818423131, 3: 10.189601706069324, 4: 8.355515530956753, 5: 17.836720958405422}","{0: 10.74959891502465, 1: 16.90795049195024, 2: 10.61019502696605, 3: 9.18593834889653, 4: 6.768307632960953, 5: 16.021097694139716}","{0: 10.85836876137789, 1: 18.810261609108643, 2: 11.843580934378483, 3: 9.759470057704487, 4: 6.680451472457223, 5: 16.00863938875908}","{0: 15.170206781202747, 1: 25.03768491454604, 2: 10.28651111609096, 3: 10.998802386608302, 4: 9.277975886715787, 5: 20.990968318148237}"
0.10164835164835163,"{0: 1.741093110332947, 1: 1.636747831090691, 2: 2.4242748691114127, 3: 3.9066897995116383, 4: 0.7683237681332621, 5: 2.3497024031886617}","{0: 2.496865745880477, 1: 2.4100031949085827, 2: 2.3412728252450656, 3: 3.9287978322681454, 4: 1.3056795521467424, 5: 3.0103336551104465}","{0: 2.314175369391628, 1: 2.8769457436271026, 2: 2.2814573280606694, 3: 3.6429926413002143, 4: 1.5231889133268446, 5: 2.607033656025925}","{0: 1.618076506759897, 1: 2.3036511818066625, 2: 2.256327040748764, 3: 3.694842783131187, 4: 0.7678664848865748, 5: 2.9603688261287613}"
