,K,I,KNN,GP
0.03021978021978022,"{0: 5.305253901328676, 1: 7.028660013018633, 2: 3.2075158042033327, 3: 7.328480156482992, 4: 5.787921511088643, 5: 4.619184892681304}","{0: 5.437323207316019, 1: 7.479285585070286, 2: 4.423610199112235, 3: 7.323228164365228, 4: 6.029486828493004, 5: 4.305346576453531}","{0: 6.32540916246184, 1: 9.156297404801656, 2: 5.489739813978918, 3: 8.966987581081675, 4: 7.97095370839868, 5: 6.273394939851487}","{0: 5.18225492794724, 1: 8.589145224094983, 2: 3.7139531115740776, 3: 6.891462337734431, 4: 5.010196672312952, 5: 4.7601960855920264}"
0.03296703296703297,"{0: 11.212486418934196, 1: 27.21923144764879, 2: 6.0231914450390285, 3: 18.590403787643258, 4: 20.813909929095882, 5: 13.217349577507514}","{0: 9.026334215644647, 1: 20.54019268120692, 2: 5.670856348852826, 3: 16.412410882644274, 4: 20.005817416605304, 5: 13.208727066446116}","{0: 13.539418599733125, 1: 22.747684842324574, 2: 7.929588693867195, 3: 12.89464010884948, 4: 28.903525714543278, 5: 15.095928749055}","{0: 12.167269850502038, 1: 18.73507783354409, 2: 8.056057677561027, 3: 14.821837137811457, 4: 19.79200735049872, 5: 15.525624862603514}"
0.03571428571428571,"{0: 4.731640912097128, 1: 4.213474462791771, 2: 2.860028703522129, 3: 2.4125544467205824, 4: 7.714291831357071, 5: 2.972222222222223}","{0: 4.813303576074566, 1: 6.55381501229166, 2: 2.2963144268115077, 3: 5.275745452997819, 4: 7.83726693724806, 5: 2.9926591089959302}","{0: 4.8906701850875525, 1: 5.300217634940751, 2: 2.9833599296700406, 3: 3.8561943276635895, 4: 11.060506120676168, 5: 2.9608582863172614}","{0: 4.620996570164883, 1: 2.9530767862839835, 2: 3.176675892876839, 3: 2.2160484518701993, 4: 7.955633483992278, 5: 3.548367467919956}"
0.038461538461538464,"{0: 5.579560192148083, 1: 5.948079219446675, 2: 11.01931694629385, 3: 11.030280005696705, 4: 12.015408825614022, 5: 7.045230009591445}","{0: 4.646518928780636, 1: 7.1053165069792135, 2: 9.296425984254212, 3: 12.338357492793065, 4: 11.66469214727151, 5: 7.805728064428135}","{0: 5.126831397563423, 1: 8.180059791610844, 2: 13.362914524610941, 3: 11.47015585441513, 4: 12.248002355897132, 5: 10.390727439964902}","{0: 6.369016688835008, 1: 6.877907459146752, 2: 10.112845610872407, 3: 11.388110165746902, 4: 10.48853523616238, 5: 5.83885786545796}"
0.04120879120879122,"{0: 12.445212642538687, 1: 12.684116221349967, 2: 7.718743132973462, 3: 15.361677195341192, 4: 8.877280495473029, 5: 6.421363189453399}","{0: 12.396990372998033, 1: 12.91041886112656, 2: 7.0648473181182565, 3: 15.904528920256467, 4: 7.539126348588235, 5: 6.117977291888559}","{0: 14.094067297269806, 1: 15.231488391097814, 2: 8.492677314512038, 3: 16.308804613251777, 4: 11.750940700607904, 5: 6.435627441891546}","{0: 15.219214479344918, 1: 13.11784949754022, 2: 4.253935310143208, 3: 15.442841657211282, 4: 8.006809240917121, 5: 5.524865238319634}"
0.04395604395604396,"{0: 5.399312532543448, 1: 6.218723159601537, 2: 7.516879843681154, 3: 7.197245499906118, 4: 6.687475515813676, 5: 4.501963908607009}","{0: 6.778949070877971, 1: 8.302400342991076, 2: 9.701214674237587, 3: 8.142680908399734, 4: 7.706929549957103, 5: 5.31455842643549}","{0: 6.400536157802717, 1: 8.984281452081776, 2: 9.003575395711978, 3: 9.502210327550099, 4: 10.31965841439844, 5: 4.9461942789239615}","{0: 6.293357906605383, 1: 5.8271766048301545, 2: 7.092072606240987, 3: 7.266293483152739, 4: 6.08901715855652, 5: 5.474528704207272}"
0.046703296703296704,"{0: 6.024994929735191, 1: 16.683833171141327, 2: 6.064318986045134, 3: 8.750199377796193, 4: 7.577578500415984, 5: 7.0991529238497195}","{0: 5.00404395023741, 1: 16.186859577562537, 2: 9.812578681076003, 3: 7.204146165949065, 4: 6.6873285659525035, 5: 6.490745561233908}","{0: 6.0676922747557684, 1: 18.61267859660628, 2: 13.338413005998751, 3: 9.157915022474205, 4: 10.222231587579811, 5: 7.381954511181588}","{0: 7.312940482095129, 1: 14.61621172073714, 2: 8.718352490401104, 3: 6.858052451249702, 4: 9.512405034010436, 5: 8.195693183410325}"
0.04945054945054945,"{0: 10.39964254013779, 1: 17.20679226227463, 2: 11.53399711908304, 3: 10.94551758633577, 4: 8.226332185897883, 5: 12.807150135727758}","{0: 7.633865500719421, 1: 10.454092263277738, 2: 13.060371963235697, 3: 7.535328637055959, 4: 6.104225574612315, 5: 12.406114424827146}","{0: 9.749923012369498, 1: 10.702909984044386, 2: 16.435520855080746, 3: 10.197106581469278, 4: 7.4178354336896115, 5: 19.130876211345623}","{0: 11.39407453991273, 1: 15.85544330267448, 2: 9.670537062286066, 3: 6.265878802583217, 4: 7.195866691538194, 5: 12.556671771905071}"
0.0521978021978022,"{0: 24.76970688643961, 1: 37.72651077383298, 2: 20.190429957532892, 3: 21.95309350370428, 4: 14.437802059304492, 5: 20.695802465829995}","{0: 20.302849481543102, 1: 26.12068791882527, 2: 18.90775170272838, 3: 14.36195959612922, 4: 12.432749445635645, 5: 15.542744834189362}","{0: 27.278442423223957, 1: 34.28482549794571, 2: 22.759953129203545, 3: 22.71494495273099, 4: 14.205930758536857, 5: 24.736980149913336}","{0: 24.665232085598404, 1: 30.18520072362614, 2: 20.226283518628925, 3: 20.639823167033782, 4: 12.067443572028955, 5: 25.965599560981804}"
0.054945054945054944,"{0: 3.97034697617147, 1: 9.463143769226184, 2: 4.3089157446219915, 3: 5.2384313685983726, 4: 3.9679787106829707, 5: 7.317742394254753}","{0: 5.268954382644009, 1: 11.856199517749205, 2: 5.584578671439703, 3: 4.486983643402556, 4: 4.061877341456034, 5: 8.05752669179374}","{0: 4.9877696775238825, 1: 15.433195433194804, 2: 7.6474198266763, 3: 7.289578105785865, 4: 4.891160754050333, 5: 9.062437685707401}","{0: 4.250937323454234, 1: 7.976060408523861, 2: 4.47476592486467, 3: 7.1488115920559165, 4: 2.473433159104141, 5: 6.456873014186333}"
0.0576923076923077,"{0: 15.847013498225644, 1: 15.589826839826829, 2: 20.80048613215244, 3: 13.638726710719709, 4: 16.295117077410318, 5: 9.318461697259101}","{0: 14.341372954780127, 1: 17.979153711719558, 2: 19.908032969141214, 3: 11.28225492560039, 4: 15.059558011101643, 5: 8.88455839511784}","{0: 16.341536291074718, 1: 25.296346983615862, 2: 24.56181286575804, 3: 16.746539798187186, 4: 20.041487138732634, 5: 11.11424063815289}","{0: 13.887509316796637, 1: 17.727457590370555, 2: 19.551533877896315, 3: 12.574365750301387, 4: 16.06688907237007, 5: 11.66548689359677}"
0.06043956043956044,"{0: 12.126113891328409, 1: 25.780142278672987, 2: 3.413573177908359, 3: 4.8281869835660745, 4: 9.286779653431617, 5: 10.775042280581054}","{0: 7.529300851700195, 1: 25.43618368827515, 2: 2.545579315354061, 3: 5.528709993240184, 4: 9.495625730167996, 5: 8.596242369977178}","{0: 11.014336050869012, 1: 36.32772564149153, 2: 5.754613016174772, 3: 6.82180203674921, 4: 11.49035376935291, 5: 11.685247981507716}","{0: 7.806379723672582, 1: 22.871805258938718, 2: 7.36667245579356, 3: 10.212924881840175, 4: 8.289912336679185, 5: 9.490670618126934}"
0.06318681318681317,"{0: 8.16464045018414, 1: 15.430833800228607, 2: 4.326802607437238, 3: 6.115040731386874, 4: 2.6538538976497876, 5: 4.2447415745225}","{0: 8.870028305177689, 1: 18.316203871596368, 2: 7.715905639556845, 3: 6.352115846063427, 4: 6.16876713557986, 5: 4.841454339831711}","{0: 9.939567347965449, 1: 24.225732919244667, 2: 8.7638670564102, 3: 8.502068675840428, 4: 10.015186531590503, 5: 6.450226424973015}","{0: 6.664116275124093, 1: 16.57123354862742, 2: 10.814661063237347, 3: 7.827431394381338, 4: 3.276256111287657, 5: 5.159326746679132}"
0.06593406593406594,"{0: 6.396644404671808, 1: 15.808836697630744, 2: 6.955176515971231, 3: 12.215281812302223, 4: 10.471166393150574, 5: 6.018353888609181}","{0: 8.855546304959718, 1: 13.859056515355519, 2: 7.563835964628116, 3: 12.400789677757091, 4: 10.014621228741467, 5: 7.998208850384148}","{0: 8.327107570077068, 1: 14.520861519856343, 2: 10.623417991396561, 3: 12.125062311578873, 4: 12.469727919514204, 5: 7.662792600437878}","{0: 4.83380694684832, 1: 12.980284463682645, 2: 9.212838174046933, 3: 10.726111911931675, 4: 8.881844610379785, 5: 5.6335082095435}"
0.06868131868131869,"{0: 2.5571280876740583, 1: 6.001458891984557, 2: 4.186127174507984, 3: 12.253473827309099, 4: 7.970778003855158, 5: 5.141323683396355}","{0: 4.440610093129835, 1: 8.340807676039578, 2: 3.94312349174635, 3: 11.695724672693013, 4: 7.986540423052986, 5: 4.993513693001579}","{0: 4.906453824097126, 1: 8.392941010500703, 2: 7.3593063269206045, 3: 12.07645989528885, 4: 9.729575206352889, 5: 6.476787135298514}","{0: 4.047764749090258, 1: 7.509753565179923, 2: 3.9074528367584964, 3: 12.30761588785912, 4: 7.9547405833467755, 5: 5.132905795640736}"
0.07142857142857142,"{0: 7.266532574394418, 1: 8.15947354950082, 2: 10.380770404804673, 3: 13.214917779337375, 4: 8.996341791225642, 5: 8.00546106826655}","{0: 8.903479348264822, 1: 10.172693169005186, 2: 8.534425881342335, 3: 12.866533515025063, 4: 8.880977709037795, 5: 8.045814016867961}","{0: 9.533077073259639, 1: 10.04195459391735, 2: 12.096354096542896, 3: 13.555880531298172, 4: 13.954389085177223, 5: 9.38439613860006}","{0: 8.080879387123858, 1: 11.475093073254774, 2: 8.963453070775179, 3: 14.13961914676014, 4: 10.630514267530149, 5: 8.353358012308805}"
0.07417582417582418,"{0: 4.705979017094317, 1: 5.541685429925084, 2: 4.725524108482371, 3: 10.093402994575369, 4: 9.160576414893969, 5: 7.022635100030652}","{0: 7.069278720913243, 1: 7.360748481151953, 2: 5.629856295108112, 3: 9.211190133077311, 4: 7.6770711025873934, 5: 6.757846236608256}","{0: 6.716640360321981, 1: 9.441897724285962, 2: 8.998733299105952, 3: 11.30085591269005, 4: 8.402976456588945, 5: 8.57574934301353}","{0: 4.381923587443953, 1: 5.723306697173543, 2: 3.876570235157564, 3: 10.743926064205917, 4: 8.167736727200328, 5: 6.92435646138257}"
0.07692307692307693,"{0: 8.942108199915216, 1: 12.448455436601645, 2: 6.0907704758953285, 3: 11.617272336316375, 4: 8.747253009684654, 5: 11.029193818968919}","{0: 6.5954707775058035, 1: 16.21370105835586, 2: 7.740102261783837, 3: 9.923812546197164, 4: 7.282164726278111, 5: 11.560819271634784}","{0: 9.989305430453005, 1: 20.118642490179603, 2: 11.482503235426803, 3: 14.92447266603471, 4: 10.302722708450819, 5: 14.385298395790457}","{0: 10.078131415320703, 1: 15.698821156353208, 2: 4.402422145507907, 3: 11.144241755471668, 4: 10.24335720662352, 5: 12.243270991687012}"
0.07967032967032966,"{0: 16.771932061309332, 1: 20.135476688391712, 2: 8.584512274808306, 3: 10.579884472075912, 4: 9.159496288643698, 5: 11.046356236231327}","{0: 16.458430237993607, 1: 15.147496550252033, 2: 10.66198402674004, 3: 10.184933690375589, 4: 8.775489171310335, 5: 10.877130922072196}","{0: 22.301576574870932, 1: 20.792189799795246, 2: 15.653294179030873, 3: 14.488913179388874, 4: 10.336385308621642, 5: 12.799479575556123}","{0: 18.018389745535448, 1: 19.2118526322818, 2: 10.366957776764043, 3: 11.474587880559966, 4: 11.10046082900715, 5: 9.128084735561108}"
0.08241758241758243,"{0: 9.689433566116017, 1: 13.897186139308578, 2: 7.443918220835397, 3: 12.511865795763379, 4: 12.888954951385937, 5: 9.310898023370584}","{0: 10.43257476158087, 1: 15.679700102339103, 2: 7.355667622859765, 3: 11.457744924168587, 4: 11.676015309722121, 5: 9.389342277469233}","{0: 10.275163358467703, 1: 17.24725183306608, 2: 10.567029958263888, 3: 13.441218654952566, 4: 13.330403302697423, 5: 10.04839385058369}","{0: 4.892024653922133, 1: 15.087032379257105, 2: 5.342030620064293, 3: 12.08439455446794, 4: 11.401719528032078, 5: 9.60039765734605}"
0.08516483516483518,"{0: 7.495471826910313, 1: 11.863830083384899, 2: 6.826269201022494, 3: 8.56718560969397, 4: 6.020458362913506, 5: 8.582149859406664}","{0: 6.99171716820803, 1: 9.367652054187271, 2: 5.670491000889538, 3: 7.6249154568928885, 4: 6.784049911093293, 5: 5.399047599123971}","{0: 8.88314168637265, 1: 10.864141599746102, 2: 6.516842454789093, 3: 8.986905578521503, 4: 8.874495783029818, 5: 7.9744397618385685}","{0: 8.421746990714276, 1: 11.94779301541428, 2: 7.858685774720434, 3: 8.236636396702602, 4: 7.572320327276709, 5: 8.631272745948948}"
0.08791208791208792,"{0: 2.9859540906640065, 1: 3.257050477186425, 2: 3.4394819186722274, 3: 4.005049101314754, 4: 1.8430274466308405, 5: 3.4371105043297097}","{0: 3.888089614225135, 1: 5.403663121580456, 2: 2.7780423771893368, 3: 4.397828217190831, 4: 1.3625113590955444, 5: 4.534013788863403}","{0: 4.519102746873011, 1: 6.711588713524484, 2: 2.78396812242121, 3: 5.771240934090298, 4: 1.6633345376532012, 5: 4.225870000420109}","{0: 3.3319216972053987, 1: 2.981085442947998, 2: 3.2979071522687784, 3: 3.7310050120219453, 4: 1.8215216432366639, 5: 3.7652232697471217}"
0.09065934065934066,"{0: 8.12493927298373, 1: 8.56459637233667, 2: 4.346437499974781, 3: 10.980220358245512, 4: 3.6070747091812594, 5: 6.192368350660601}","{0: 7.89950324106362, 1: 9.2593678271963, 2: 5.10420385422218, 3: 10.98273729701399, 4: 7.54052300820076, 5: 4.585162372419631}","{0: 9.704102349773185, 1: 11.557024736474109, 2: 6.590817218236253, 3: 11.567209602813014, 4: 9.373250830785798, 5: 7.121477136560469}","{0: 8.11418712238281, 1: 12.578621978082438, 2: 5.836993150783843, 3: 11.24847638706425, 4: 7.793101090859781, 5: 8.231323804502654}"
0.0934065934065934,"{0: 3.6717314118647644, 1: 4.356102568833245, 2: 3.777685106105359, 3: 5.712447473602988, 4: 5.9664643195647935, 5: 2.53125}","{0: 4.64344289024386, 1: 4.101933170099838, 2: 3.7804472194073897, 3: 6.239668307078038, 4: 6.8796372355152045, 5: 3.1237723798771113}","{0: 6.233584326169288, 1: 6.195342309054988, 2: 5.874777140728344, 3: 8.916329876036915, 4: 7.622260802057804, 5: 4.426312105356284}","{0: 5.19994460905341, 1: 4.56385476279583, 2: 3.5559573701220812, 3: 6.9060401516299725, 4: 7.143625823150541, 5: 3.026308549894916}"
0.09615384615384616,"{0: 6.152486600700336, 1: 8.757633582388483, 2: 4.502362175030074, 3: 11.68091185465397, 4: 1.350908792544151, 5: 4.048661697533924}","{0: 4.663093945941959, 1: 7.775837032710295, 2: 5.798032222660633, 3: 11.042805221405407, 4: 4.702157741089207, 5: 3.212786220126933}","{0: 6.650723204215339, 1: 10.717060758574569, 2: 10.299978611490891, 3: 17.563116029012868, 4: 7.907018450516158, 5: 4.846500007810172}","{0: 4.4125963583764465, 1: 8.773313847646692, 2: 3.9623475663655383, 3: 12.713396135994735, 4: 6.181516610670619, 5: 3.5056195011469113}"
0.0989010989010989,"{0: 12.119824941347341, 1: 16.3726324313116, 2: 8.866955333975138, 3: 7.690055662023703, 4: 7.4237836455444866, 5: 11.85030657100051}","{0: 8.78177419305236, 1: 13.14938094578019, 2: 8.552649208102633, 3: 7.446967189860011, 4: 5.748066785925026, 5: 11.86427621281644}","{0: 10.85836876137789, 1: 18.810261609108643, 2: 11.843580934378483, 3: 9.759470057704487, 4: 6.680451472457223, 5: 16.00863938875908}","{0: 11.391934082014403, 1: 19.982798333974984, 2: 7.5952512289889995, 3: 9.089970986376096, 4: 7.343550244810182, 5: 13.703023883118817}"
0.10164835164835163,"{0: 1.3774931483628416, 1: 1.0816384532857748, 2: 2.1019024975400264, 3: 3.0365382411935364, 4: 0.5808984802857203, 5: 1.829005659032263}","{0: 2.163769804481081, 1: 1.8267092228044062, 2: 1.8813062653812296, 3: 3.138534797281556, 4: 1.1478914833050806, 5: 2.428306211635998}","{0: 2.314175369391628, 1: 2.8769457436271026, 2: 2.2814573280606694, 3: 3.6429926413002143, 4: 1.5231889133268446, 5: 2.607033656025925}","{0: 1.219311032904183, 1: 1.693413153683547, 2: 1.6854465693653935, 3: 2.733920291747703, 4: 0.6077377170850672, 5: 2.558650184280836}"
0.1043956043956044,"{0: 12.259988562828566, 1: 21.118629896370834, 2: 12.795353175093497, 3: 14.468427865515139, 4: 14.668841462924073, 5: 18.100864245278036}","{0: 9.228428692599586, 1: 15.525923732510597, 2: 10.499383483665634, 3: 12.131723422007147, 4: 13.732359455077967, 5: 10.805075524695917}","{0: 13.262727962085233, 1: 21.211632933533043, 2: 13.804784761931119, 3: 16.977389365962058, 4: 19.05269481286397, 5: 16.28600512300586}","{0: 13.509398329032718, 1: 22.89163690517708, 2: 13.298720145670867, 3: 14.395576286501784, 4: 15.474228131581802, 5: 19.78484633329008}"
0.10714285714285714,"{0: 10.355343144314064, 1: 14.506249966737267, 2: 10.517287643470377, 3: 13.455554971039527, 4: 9.953108810431194, 5: 11.149116231942331}","{0: 7.740624958801821, 1: 11.162999360023363, 2: 8.87295133254636, 3: 12.193926537625694, 4: 8.562000989524398, 5: 7.905394625465992}","{0: 9.621466928747061, 1: 15.81762387551606, 2: 12.321759900005938, 3: 14.444250631363971, 4: 11.963769920771549, 5: 12.232635702943082}","{0: 9.730542223476908, 1: 14.681227858010061, 2: 9.780835714682402, 3: 13.807200598063355, 4: 10.673953565527285, 5: 11.413179119503987}"
0.10989010989010987,"{0: 9.64852494252188, 1: 15.332557973746441, 2: 9.458324257926783, 3: 10.35147015321043, 4: 9.303204378605622, 5: 12.56202558008846}","{0: 5.633428135573085, 1: 12.639661528920703, 2: 11.537358575669895, 3: 8.533157623461909, 4: 7.0312755470234505, 5: 12.928620613862952}","{0: 8.567328973659693, 1: 20.439007763340214, 2: 16.37395529103557, 3: 12.455801166652797, 4: 8.892264170368382, 5: 18.49495037792085}","{0: 7.060699696773085, 1: 15.626657849785792, 2: 9.075167378195788, 3: 10.014380836116123, 4: 10.11065794934362, 5: 10.299938176734782}"
0.11263736263736265,"{0: 12.476663853008406, 1: 15.483161959952033, 2: 6.908704102600728, 3: 9.88713646906098, 4: 9.386867047974823, 5: 8.615121101393093}","{0: 9.239881501322168, 1: 10.007341051284097, 2: 8.693350547529258, 3: 9.769223975874056, 4: 8.808565480092714, 5: 9.116384046006736}","{0: 14.28753130737512, 1: 10.24400733715862, 2: 10.485608478058193, 3: 9.59143138715603, 4: 10.218270538955714, 5: 12.52900664109148}","{0: 13.221176478653765, 1: 14.652915857628281, 2: 5.336964321978774, 3: 9.496056606430313, 4: 8.716332597649627, 5: 5.36916700548102}"
0.1153846153846154,"{0: 15.611039118427682, 1: 19.687666405779506, 2: 13.311519301638162, 3: 15.047723818324377, 4: 12.988890096522285, 5: 14.249477890220573}","{0: 13.201307091265706, 1: 11.932604197193768, 2: 10.272658804857095, 3: 13.249102893324165, 4: 11.402891961486532, 5: 7.354650883748657}","{0: 18.575635563374874, 1: 14.822798672427135, 2: 14.235734253099194, 3: 13.854000530290476, 4: 15.863830735273748, 5: 9.640855491187818}","{0: 16.04780256938258, 1: 22.8336426006737, 2: 12.860377277508164, 3: 14.942066973590324, 4: 13.92256129988008, 5: 18.126048164431385}"
