,K,I,KNN,GP
0.2335164835164835,"{0: 14.48107868558109, 1: 20.13859461730267, 2: 14.703661559818533, 3: 13.67056175016887, 4: 11.07836796512607, 5: 14.171176988564559}","{0: 15.59648615653096, 1: 16.472432589106834, 2: 14.180790019139232, 3: 14.278250680994882, 4: 13.16504210683582, 5: 14.807831789324462}","{0: 19.80539979372125, 1: 18.95670406551021, 2: 17.387518526663523, 3: 16.700419925424093, 4: 16.99567965676215, 5: 18.202809754875506}","{0: 20.576028525851246, 1: 20.562752273968258, 2: 10.978435350067022, 3: 14.401534141952206, 4: 12.57887213283312, 5: 16.39554266841947}"
0.23626373626373626,"{0: 5.461510064564659, 1: 13.037447712166886, 2: 15.087779352408115, 3: 12.828641242939142, 4: 11.876325271198667, 5: 14.816188600666436}","{0: 4.667308292055964, 1: 11.85872723026941, 2: 16.547060215359856, 3: 13.31232682407975, 4: 9.243229991894056, 5: 13.075593458952662}","{0: 8.265520833118112, 1: 17.634353051463652, 2: 23.06045825486319, 3: 17.772771511908484, 4: 9.803459217575561, 5: 18.80943068670194}","{0: 7.162956199760214, 1: 11.600154300820142, 2: 14.37064111808968, 3: 14.224697675224188, 4: 13.244997711900714, 5: 12.893649681296793}"
0.23901098901098905,"{0: 5.401109252197474, 1: 3.561294183705823, 2: 9.591269841271563, 3: 8.317692406472492, 4: 10.77027023455836, 5: 4.850347868650701}","{0: 4.110465987411428, 1: 5.0380414764510535, 2: 9.1379864386122, 3: 7.074380188457539, 4: 10.7265000000222, 5: 4.925562610139525}","{0: 5.943744610452605, 1: 5.698052812639081, 2: 14.612682566557746, 3: 9.289629302462007, 4: 12.306827418735525, 5: 6.328614378653802}","{0: 5.875783454234636, 1: 3.3248337869827678, 2: 8.152356599352723, 3: 7.977806576591453, 4: 11.502948972252284, 5: 5.076001031321884}"
0.24175824175824176,"{0: 8.223927290854045, 1: 16.219723882886036, 2: 6.993694146987799, 3: 9.513177987553172, 4: 12.882919346975333, 5: 13.581606976181689}","{0: 7.968079092533199, 1: 13.325933125348906, 2: 6.624287544955595, 3: 7.710164081737761, 4: 10.1436746302251, 5: 10.279256109290992}","{0: 9.921609947125578, 1: 16.74654901569828, 2: 9.395086506411902, 3: 9.900547122928767, 4: 9.741402624366808, 5: 12.431736830898402}","{0: 10.542409154763286, 1: 12.048136408128116, 2: 11.63023930474755, 3: 7.5661649429779345, 4: 6.648903474612209, 5: 12.312134057269603}"
0.2445054945054945,"{0: 19.694444444444454, 1: 9.406885971410416, 2: 14.415985925494118, 3: 13.777510125745387, 4: 15.895048147640559, 5: 11.094696969696978}","{0: 18.53372146072442, 1: 12.06894666215218, 2: 9.835418621630469, 3: 18.597672225659817, 4: 21.794274951873813, 5: 12.64617097035054}","{0: 18.770169208856178, 1: 9.046779238768943, 2: 15.782301049695432, 3: 18.94449429605422, 4: 25.396702492850363, 5: 15.506944383836258}","{0: 12.621967967176245, 1: 13.273291627564957, 2: 12.152963761371845, 3: 16.556987045967052, 4: 15.323299298809907, 5: 11.094068404254024}"
0.2472527472527473,"{0: 6.164749710366522, 1: 19.629592675708246, 2: 12.046670258918956, 3: 17.544047910017017, 4: 13.780979806581028, 5: 27.777382669365622}","{0: 8.782163204347, 1: 19.817470298707597, 2: 12.047696060144801, 3: 17.965357756305597, 4: 15.142874536734794, 5: 27.59802138223917}","{0: 7.70624943103761, 1: 19.312976108505286, 2: 15.772295696425871, 3: 23.105578511047593, 4: 16.99271260512632, 5: 40.62682079341807}","{0: 1.8621058458241133, 1: 17.236625039781547, 2: 17.190804164432517, 3: 18.652188425615073, 4: 14.248167628775597, 5: 28.683683979319984}"
0.25,"{0: 23.64258144432064, 1: 28.679618481357647, 2: 14.335196333457205, 3: 22.668983649200673, 4: 16.338877740616905, 5: 36.57302189247765}","{0: 21.48264238136537, 1: 25.80829370958078, 2: 11.160658459631705, 3: 19.752010953923772, 4: 15.291136260257295, 5: 35.53330117760526}","{0: 27.470349056051685, 1: 23.72454098954516, 2: 13.326349082217186, 3: 18.137711421963196, 4: 17.442445620573764, 5: 68.26672309304799}","{0: 23.7237618055475, 1: 28.762453351616006, 2: 14.241979009816774, 3: 22.925233542228455, 4: 16.42932875439074, 5: 42.853496372657865}"
0.25274725274725274,"{0: 0, 1: 6.486072560603617, 2: 0, 3: 0, 4: 10.122584541062764, 5: 11.624996767121928}","{0: 0, 1: 8.006194854614819, 2: 0, 3: 0, 4: 14.437982382899492, 5: 15.458793113459734}","{0: 0, 1: 6.532004830917856, 2: 0, 3: 0, 4: 10.122584541062793, 5: 8.330615942028999}","{0: 0, 1: 18.4452490984782, 2: 0, 3: 0, 4: 7.348209249246992, 5: 14.313240937587466}"
0.2554945054945055,"{0: 0, 1: 30.29418117202404, 2: 0, 3: 0, 4: 11.766894905627268, 5: 13.090401836370788}","{0: 0, 1: 26.909725638850105, 2: 0, 3: 0, 4: 12.812149724631595, 5: 12.807841022366475}","{0: 0, 1: 24.708333333333314, 2: 0, 3: 0, 4: 17.097222222222214, 5: 1.3958333333333286}","{0: 0, 1: 44.6001613819534, 2: 0, 3: 0, 4: 7.891670639654905, 5: 10.840582573704978}"
0.2582417582417583,"{0: 0, 1: 17.6565958279609, 2: 0, 3: 0, 4: 16.873917122174717, 5: 14.410157114487504}","{0: 0, 1: 17.037016613784203, 2: 0, 3: 0, 4: 3.855817477331783, 5: 0.5756597305700666}","{0: 0, 1: 14.290674603174594, 2: 0, 3: 0, 4: 20.26488095238095, 5: 17.938492063492035}","{0: 0, 1: 47.106342150400195, 2: 0, 3: 0, 4: 16.736492808981723, 5: 13.984785641815733}"
0.260989010989011,"{0: 0, 1: 20.511634199134186, 2: 0, 3: 0, 4: 40.16750712786811, 5: 21.87581243858103}","{0: 0, 1: 21.235955104421805, 2: 0, 3: 0, 4: 40.377667753712934, 5: 39.13995138288007}","{0: 0, 1: 20.511634199134193, 2: 0, 3: 0, 4: 25.428300865800864, 5: 23.132305194805195}","{0: 0, 1: 19.403873269684674, 2: 0, 3: 0, 4: 33.523952141102434, 5: 22.53252843860313}"
0.2637362637362637,"{0: 0, 1: 1.0153468260240572, 2: 0, 3: 0, 4: 1.8390151515127968, 5: 4.237373737373719}","{0: 0, 1: 1.022830472487417, 2: 0, 3: 0, 4: 4.582255662453839, 5: 5.22083094943244}","{0: 0, 1: 1.4015151515151523, 2: 0, 3: 0, 4: 1.8390151515151523, 5: 4.2373737373737335}","{0: 0, 1: 0.5798913855555305, 2: 0, 3: 0, 4: 1.777975781032346, 5: 4.674014658147076}"
0.2664835164835165,"{0: 0, 1: 17.947548598060152, 2: 0, 3: 0, 4: 7.904701243910026, 5: 9.378253041116153}","{0: 0, 1: 22.553938002868776, 2: 0, 3: 0, 4: 8.739149387143712, 5: 8.873645887386271}","{0: 0, 1: 21.27083333333333, 2: 0, 3: 0, 4: 0.26388888888888573, 5: 11.05555555555556}","{0: 0, 1: 14.767997970337476, 2: 0, 3: 0, 4: 6.34313140087859, 5: 10.869872699292188}"
0.2692307692307692,"{0: 0, 1: 29.53919860646154, 2: 0, 3: 0, 4: 7.01150302629776, 5: 10.07550158792671}","{0: 0, 1: 36.84624383630988, 2: 0, 3: 0, 4: 8.164081809673732, 5: 9.54386031501383}","{0: 0, 1: 33.46527777777777, 2: 0, 3: 0, 4: 10.284722222222229, 5: 21.270833333333336}","{0: 0, 1: 25.697082429056785, 2: 0, 3: 0, 4: 2.23681720475642, 5: 10.99073636087951}"
0.271978021978022,"{0: 7.355111758528217, 1: 2.3484386750876225, 2: 7.258950785681324, 3: 2.5999819959751314, 4: 7.8287096856377865, 5: 5.671745349674571}","{0: 7.420821537279278, 1: 3.2167510796452574, 2: 7.183735509459659, 3: 4.495576941746584, 4: 8.84006907886585, 5: 5.939665813080653}","{0: 7.963000287757771, 1: 4.937146491264105, 2: 9.2490552702603, 3: 5.1754431588243675, 4: 8.628463665748347, 5: 6.802036421221489}","{0: 6.848365080122465, 1: 2.5880208148650894, 2: 6.521432996558439, 3: 3.5313158253883095, 4: 7.720002796671094, 5: 5.989932057861236}"
0.27472527472527475,"{0: 8.159420289855072, 1: 6.063751673946598, 2: 11.484509173476546, 3: 5.449223710655526, 4: 9.419655432024205, 5: 11.066117385030381}","{0: 7.7815755409226695, 1: 5.813382110501176, 2: 12.553222056778813, 3: 9.859333918721584, 4: 11.340432607449992, 5: 10.976500940231649}","{0: 9.199508928221974, 1: 9.694515827751069, 2: 14.025221844194864, 3: 11.838582501673333, 4: 10.906258324295939, 5: 12.528419468044806}","{0: 13.032386742381746, 1: 7.24080813321783, 2: 10.596562782847778, 3: 11.367382366446686, 4: 9.51533146078907, 5: 9.89008423206642}"
0.2774725274725275,"{0: 7.20172008532132, 1: 10.2485701007487, 2: 8.413865337453057, 3: 6.8053629157796545, 4: 6.238068465766997, 5: 10.531452330926877}","{0: 6.069462305267961, 1: 9.271101939667163, 2: 8.027026218765881, 3: 7.575852286379267, 4: 7.232975019217165, 5: 9.489037914667408}","{0: 8.026826026290857, 1: 12.574027491764099, 2: 10.245409726330664, 3: 9.689225586391915, 4: 9.744889980589713, 5: 12.026057270077294}","{0: 8.525484685873849, 1: 12.140238712830396, 2: 8.894607948163207, 3: 7.946665640435627, 4: 7.624203695812148, 5: 13.200180460622528}"
0.2802197802197802,"{0: 10.65734641446541, 1: 13.441305464331506, 2: 11.640404379391812, 3: 10.902811892539939, 4: 8.232985165492968, 5: 12.342231022294559}","{0: 11.231581079131843, 1: 12.72372075939702, 2: 11.328652374242504, 3: 12.39115827485938, 4: 7.599797125753916, 5: 9.544010486669194}","{0: 13.33554321398057, 1: 15.821583088460043, 2: 13.474892594194321, 3: 13.900357620364892, 4: 10.156028242302522, 5: 12.043685019323243}","{0: 11.377335811366114, 1: 14.134562760042494, 2: 10.960760096558827, 3: 10.536517819568436, 4: 8.179160081397649, 5: 13.53890884688144}"
0.28296703296703296,"{0: 9.638341087177707, 1: 15.110520196783007, 2: 11.234223148021277, 3: 11.650539502835528, 4: 10.074845227165577, 5: 12.847192904468482}","{0: 9.670888308981928, 1: 11.029204560006534, 2: 10.968059702822464, 3: 11.579613036642066, 4: 9.706473836053805, 5: 9.539802018733095}","{0: 10.693071421289623, 1: 14.880451267600108, 2: 12.963404915641219, 3: 11.117206295714574, 4: 11.759940188211974, 5: 12.008143366582098}","{0: 9.807346450606147, 1: 15.132991405980073, 2: 9.843078129746727, 3: 10.427583208683847, 4: 10.268136023870818, 5: 14.003621591183963}"
0.2857142857142857,"{0: 4.630267466056273, 1: 4.8291043231533335, 2: 6.762179842134166, 3: 4.237093986600522, 4: 3.434253172333669, 5: 5.765879830131278}","{0: 2.920974346746187, 1: 4.293336431206095, 2: 7.865029574671503, 3: 3.787492729913842, 4: 3.218205528363421, 5: 5.289489858637534}","{0: 3.6299695292841956, 1: 6.325608504969827, 2: 9.764206187079518, 3: 4.504938701258664, 4: 4.2249826484889965, 5: 6.662157955141261}","{0: 4.62051433198596, 1: 5.505902200390824, 2: 6.402266011897145, 3: 4.227804191935715, 4: 3.0621971633810845, 5: 5.782476178176517}"
0.28846153846153844,"{0: 5.280986171972597, 1: 9.578916321757958, 2: 7.627410462854407, 3: 7.783138614740911, 4: 4.71957262628706, 5: 10.670654568905064}","{0: 5.698018927235535, 1: 8.475007353116121, 2: 8.903584208477193, 3: 8.389580527417843, 4: 5.664161156533055, 5: 10.14000775195414}","{0: 6.9575515196186775, 1: 10.990805948315096, 2: 10.882715529654478, 3: 9.049381646934355, 4: 7.018661856923387, 5: 11.654873364853588}","{0: 4.758022406538921, 1: 10.349448969821829, 2: 6.857300587269921, 3: 8.69661059398717, 4: 5.780926735594567, 5: 11.310919475128316}"
0.29120879120879123,"{0: 9.074564006486922, 1: 9.752237396259149, 2: 12.767169995328937, 3: 8.577874697251865, 4: 12.996065589000414, 5: 12.65972222222222}","{0: 11.260208580681308, 1: 14.409773217663476, 2: 13.419779005079917, 3: 11.291967172868839, 4: 14.743871805453027, 5: 13.449830976785341}","{0: 13.963968106338559, 1: 17.768242199091492, 2: 15.564623825261993, 3: 15.492933921555728, 4: 17.117226812037515, 5: 18.097747273697713}","{0: 13.702714211594381, 1: 18.72939480753671, 2: 9.548984548601291, 3: 13.623342247557199, 4: 14.119483851100485, 5: 12.102464142282534}"
0.293956043956044,"{0: 22.516394875712205, 1: 40.40425284728795, 2: 24.528304838521723, 3: 20.6671333976745, 4: 27.46617465182004, 5: 25.503198213219733}","{0: 15.970339240396848, 1: 31.030508137937897, 2: 24.68245740893258, 3: 22.29195791587304, 4: 26.442281140624633, 5: 23.211725758953406}","{0: 22.982097074547617, 1: 35.78705234685361, 2: 32.312038202835524, 3: 27.358479645267476, 4: 40.01066782418977, 5: 31.17974703542191}","{0: 28.026746204159767, 1: 48.62082295578488, 2: 22.32263034445673, 3: 28.95259459991679, 4: 28.867614949226265, 5: 33.30892813104869}"
0.2967032967032967,"{0: 4.92564262140679, 1: 8.530258574580527, 2: 8.95093397961647, 3: 6.5957106184102186, 4: 6.770008495766259, 5: 8.5520328009183}","{0: 5.86149644119395, 1: 10.476299997418147, 2: 9.658193911861742, 3: 7.34090400767971, 4: 9.005166744817885, 5: 10.427809945560762}","{0: 6.094975218578987, 1: 9.58388347973683, 2: 11.264411354224258, 3: 6.996026939520934, 4: 9.705871642369479, 5: 10.002082804769396}","{0: 7.172240430544779, 1: 11.117887897261403, 2: 9.271739630943292, 3: 8.618729541867326, 4: 6.146248677335301, 5: 8.049069069377333}"
0.29945054945054944,"{0: 14.531801830180775, 1: 21.077013705194414, 2: 18.306396431990432, 3: 13.441410079503777, 4: 14.81741722977292, 5: 15.91033245080204}","{0: 10.039770056970797, 1: 14.288412670139559, 2: 17.73543687307369, 3: 10.826610642467541, 4: 13.536413996983129, 5: 11.940382414897096}","{0: 12.69538105684447, 1: 15.832589601578908, 2: 22.216399966160637, 3: 10.931196611710723, 4: 16.561187324351717, 5: 15.992413315228186}","{0: 10.21939236231569, 1: 20.866470105351688, 2: 17.048289329281697, 3: 12.589201505216126, 4: 13.587011223628364, 5: 15.821824497240383}"
0.3021978021978022,"{0: 8.579627799736452, 1: 4.464915710483429, 2: 9.651637754354978, 3: 4.688890718782031, 4: 4.431485141267672, 5: 9.701692971302302}","{0: 8.020923656370059, 1: 4.333809707960856, 2: 8.706097696600638, 3: 5.173257732694488, 4: 6.345082378694403, 5: 8.476807599436674}","{0: 7.706028545603941, 1: 6.408480039598064, 2: 10.68157938134525, 3: 6.195145726164612, 4: 4.310552842158546, 5: 13.974587827270586}","{0: 12.240118825423968, 1: 5.205103306873312, 2: 8.594599909909151, 3: 4.940270037149517, 4: 4.912873864536441, 5: 9.903794376690044}"
0.30494505494505497,"{0: 13.723769448608465, 1: 14.690386579117058, 2: 6.270054637204595, 3: 12.51806456076057, 4: 15.422661878940154, 5: 21.478516944323356}","{0: 14.47868108204058, 1: 12.405134012329405, 2: 6.105404130908482, 3: 11.826101706536882, 4: 15.45194014831546, 5: 16.321068789273102}","{0: 16.609334902493966, 1: 13.795338163049843, 2: 8.207338542259173, 3: 15.44655712588013, 4: 17.347687921673124, 5: 23.446904890875302}","{0: 15.012597292287643, 1: 10.590675179647645, 2: 4.666361374020947, 3: 11.139424730661242, 4: 12.798517936558914, 5: 15.856001367524696}"
0.3076923076923077,"{0: 10.036508346071221, 1: 14.053854436234767, 2: 13.838676778461492, 3: 13.754584659333617, 4: 15.236011961740617, 5: 12.90653160176213}","{0: 9.613741047914077, 1: 9.575593181539894, 2: 17.064697729318485, 3: 12.073043864642093, 4: 11.914878106491903, 5: 11.306253368158838}","{0: 11.456815415822438, 1: 11.472433780083154, 2: 23.37221388215311, 3: 14.217449406289562, 4: 12.716966331857021, 5: 14.508922554848269}","{0: 9.44890261872586, 1: 11.178115807163072, 2: 15.889612523475286, 3: 10.140534297058172, 4: 12.693921544345173, 5: 13.331467867177349}"
0.31043956043956045,"{0: 9.985165635234933, 1: 10.192670567810202, 2: 9.416325944001068, 3: 8.178368080157815, 4: 6.058682266946749, 5: 10.308140064022362}","{0: 8.616476840843745, 1: 10.044609388276063, 2: 7.918603232500762, 3: 7.541762342797146, 4: 5.673310711255106, 5: 10.208173419016328}","{0: 10.930108162774033, 1: 15.271086017005276, 2: 9.591683599595061, 3: 10.966919860121537, 4: 8.025711855482253, 5: 12.939405419209493}","{0: 8.915873090542547, 1: 9.088141711498045, 2: 7.572119717467195, 3: 8.493029811618708, 4: 5.979043274271773, 5: 11.0270429890443}"
0.3131868131868132,"{0: 16.652777777777782, 1: 26.242604514433808, 2: 17.166033712272597, 3: 23.404082674842964, 4: 20.051071055381694, 5: 30.219570707070694}","{0: 7.421148611339956, 1: 29.943226817137326, 2: 19.206288505648025, 3: 17.90518380330026, 4: 16.38456455362024, 5: 31.08393929943859}","{0: 13.650512134323334, 1: 38.83626683102382, 2: 24.894525295325973, 3: 27.250162667757394, 4: 22.826329557157344, 5: 34.43327193192345}","{0: 13.454899275823921, 1: 30.616514701071434, 2: 11.176266928397252, 3: 18.24025370673031, 4: 20.72617007181802, 5: 27.194528647027948}"
0.3159340659340659,"{0: 7.986433929483272, 1: 13.246503822151041, 2: 9.677596194765371, 3: 10.409795735473438, 4: 8.807690697187255, 5: 13.860075181895388}","{0: 6.983358858583216, 1: 10.996881477508309, 2: 8.17065271102357, 3: 9.71658930012156, 4: 8.605078222872352, 5: 10.861243848826387}","{0: 9.05376911983102, 1: 12.293424230904407, 2: 10.252335328788757, 3: 10.436855050796549, 4: 10.476009206960493, 5: 12.258416263535985}","{0: 8.395180986237099, 1: 14.526932995233862, 2: 10.665226789900741, 3: 10.346073244897646, 4: 9.517571670108252, 5: 14.894558441559886}"
0.31868131868131866,"{0: 1.4756477740975626, 1: 5.356299816263835, 2: 3.6890300002605456, 3: 5.174004040224889, 4: 2.363170040549424, 5: 4.291767671735694}","{0: 2.737356901222396, 1: 5.684794278803197, 2: 4.593948265077355, 3: 5.355220799202454, 4: 3.5421894746639544, 5: 3.612145013487241}","{0: 2.0977277443560993, 1: 7.651967202557132, 2: 4.1531525918734715, 3: 5.996684062221239, 4: 2.5937037589998906, 5: 5.117071869523288}","{0: 1.7121036101528375, 1: 5.388854926701843, 2: 2.4041755352666883, 3: 4.616513210864775, 4: 1.8884418871151507, 5: 3.7045594278925393}"
0.32142857142857145,"{0: 4.882298075172056, 1: 10.378129372537563, 2: 7.137464905236434, 3: 7.871881179980337, 4: 6.933512548113579, 5: 6.658428585293114}","{0: 4.671932748100602, 1: 8.530436504020138, 2: 8.503758071002052, 3: 7.724892270478282, 4: 6.977387876560549, 5: 5.605420692152564}","{0: 5.247208560217785, 1: 12.231399486125786, 2: 10.45084456856471, 3: 8.661221499907224, 4: 7.701238897042153, 5: 7.955736342936236}","{0: 3.2401522111352876, 1: 11.482597457090748, 2: 6.837877403466816, 3: 6.816024221949394, 4: 6.977116531293059, 5: 9.427811144690143}"
0.3241758241758242,"{0: 6.138531616371753, 1: 16.110451126821328, 2: 10.98379451735367, 3: 9.468163747951317, 4: 9.4059684637118, 5: 14.13665122669749}","{0: 6.314514826079594, 1: 11.42356244927141, 2: 12.79198421202988, 3: 9.080498603178993, 4: 8.860213800242716, 5: 12.345538372378252}","{0: 8.078327288800539, 1: 17.09920173500155, 2: 16.52027286424953, 3: 12.3598206645391, 4: 12.696933449461788, 5: 15.04045053819783}","{0: 7.069301945558472, 1: 17.059991673193846, 2: 9.785644344697987, 3: 11.293448018109283, 4: 9.678858514393662, 5: 16.50882021216654}"
0.3269230769230769,"{0: 15.185975274807435, 1: 34.754272059384206, 2: 14.522721394237289, 3: 15.180726790169329, 4: 31.21131017254427, 5: 15.888888888888888}","{0: 8.246504397182953, 1: 21.353763823955177, 2: 18.289769420141344, 3: 20.642071444893407, 4: 30.143379304667178, 5: 21.129503820790617}","{0: 16.914038802420666, 1: 27.37056901830721, 2: 27.096563422549927, 3: 23.35049002349134, 4: 47.29474034160566, 5: 27.757044709409005}","{0: 15.965046148010833, 1: 31.575447726099824, 2: 13.997981396730433, 3: 25.411144985701174, 4: 31.15820339930953, 5: 28.658999087992793}"
0.3296703296703297,"{0: 9.935245205679928, 1: 7.5574817938360495, 2: 13.932041428780535, 3: 9.237622602839899, 4: 8.608974161909202, 5: 10.23752374241234}","{0: 8.99810441602663, 1: 8.990106576348753, 2: 14.454079329445397, 3: 8.103293781802554, 4: 7.388408478598788, 5: 10.750906006063035}","{0: 13.287960026675728, 1: 13.119725851142308, 2: 18.28118543632095, 3: 9.721984559411972, 4: 10.579484653814637, 5: 12.238485728513862}","{0: 10.706543726677312, 1: 9.741819139241684, 2: 13.148003981277077, 3: 7.543683372176505, 4: 8.90947265258563, 5: 11.891264215531557}"
0.3324175824175824,"{0: 10.7987268788079, 1: 12.72076996230323, 2: 15.349118176052265, 3: 6.94317542938833, 4: 9.688613384949448, 5: 6.623921782640825}","{0: 8.90706239657988, 1: 9.616001841249549, 2: 18.713635259561737, 3: 7.082571524335357, 4: 9.453026093534625, 5: 10.511473793197327}","{0: 8.484098378499004, 1: 13.463881442796245, 2: 25.37452810368969, 3: 10.909223925923293, 4: 15.87894780496326, 5: 11.022302218178812}","{0: 8.26802001442634, 1: 13.468828693074338, 2: 18.079992629216573, 3: 6.940331477563379, 4: 3.183741835020662, 5: 8.93721144013186}"
0.33516483516483514,"{0: 14.365762959091711, 1: 33.074572211077964, 2: 14.174691791921978, 3: 21.830703702791993, 4: 23.349502761865736, 5: 28.445638578023367}","{0: 12.487487018029524, 1: 31.054606505977574, 2: 15.883319657249293, 3: 21.99479345139027, 4: 22.25848025334169, 5: 24.268442212598192}","{0: 17.053154095999766, 1: 37.44710711662946, 2: 23.089758592046635, 3: 28.548787635606573, 4: 33.629269252395346, 5: 30.43158484364032}","{0: 12.132370252388114, 1: 42.52987769647944, 2: 19.69550024475349, 3: 26.011916249596666, 4: 26.568131512757276, 5: 30.894568938563793}"
0.33791208791208793,"{0: 6.686165098641307, 1: 17.29721322009892, 2: 7.748435928296719, 3: 10.054740187821318, 4: 11.507519878705759, 5: 13.200950433109135}","{0: 10.988379386987887, 1: 15.321363611084273, 2: 12.30183416121632, 3: 10.904682227114833, 4: 12.764509955028737, 5: 14.997211369455163}","{0: 12.565676025456757, 1: 20.953964951760828, 2: 14.89542298207799, 3: 15.628658308658013, 4: 13.378901842273258, 5: 15.232469040640169}","{0: 7.28536262374995, 1: 12.899243238235863, 2: 4.9763808566538, 3: 9.887608435621692, 4: 15.532459511168065, 5: 11.452404102021196}"
0.3406593406593407,"{0: 8.642392228180924, 1: 12.246370287177418, 2: 10.411286723710617, 3: 9.336312036467232, 4: 10.775439961809713, 5: 11.179115740213932}","{0: 7.880304785675462, 1: 9.538598967939954, 2: 10.200026993425501, 3: 8.903255909184125, 4: 9.528929030443294, 5: 7.598937518408853}","{0: 10.568613657181759, 1: 12.040033665492226, 2: 13.323321881366894, 3: 10.60383164233435, 4: 12.055515952955947, 5: 9.831376732573707}","{0: 10.10492186582893, 1: 13.8653943787667, 2: 10.555829134478232, 3: 10.485954023450267, 4: 11.741481398243824, 5: 10.972603226180892}"
0.3434065934065934,"{0: 2.0396825396825395, 1: 2.2152777753292745, 2: 2.4586189048333056, 3: 3.453882187404856, 4: 3.3713982257476403, 5: 4.009844779990932}","{0: 2.2658909334390898, 1: 1.9690039280601652, 2: 3.0413825504263845, 3: 4.14725135760754, 4: 3.667025313549176, 5: 3.354722130398105}","{0: 2.6411245278432878, 1: 2.047022951141093, 2: 4.103410341825966, 3: 5.010863365642847, 4: 3.465066460071749, 5: 4.013696794030626}","{0: 2.0397013118567124, 1: 2.3048297473326897, 2: 2.901968620551107, 3: 3.695182155726821, 4: 3.287018674466684, 5: 4.074700374692743}"
0.3461538461538461,"{0: 7.166210546573613, 1: 9.072721268355224, 2: 5.315520083618473, 3: 6.353709931491263, 4: 9.319457991804525, 5: 9.562499999999874}","{0: 5.331090555716904, 1: 8.700344707661559, 2: 7.273101170791854, 3: 6.2307145488376845, 4: 6.248710948886845, 5: 6.620150106412596}","{0: 3.735189409492528, 1: 12.75736840674598, 2: 9.216809452497401, 3: 6.843626680526435, 4: 3.929182792649728, 5: 6.987342908395193}","{0: 3.53782925373422, 1: 5.019221872706008, 2: 5.046436993145474, 3: 6.507879618300269, 4: 5.647099377993951, 5: 5.044945764154794}"
0.3489010989010989,"{0: 8.305555555555557, 1: 8.568997079890346, 2: 16.461157154786942, 3: 8.531400966183526, 4: 11.812439613526287, 5: 12.288467689487115}","{0: 2.324056981812049, 1: 10.217649493104519, 2: 17.027530079219144, 3: 5.118941824456644, 4: 4.750659421830716, 5: 9.577753021325636}","{0: 3.5482073085073247, 1: 14.764180499873401, 2: 20.754106508766156, 3: 8.67602909622066, 4: 5.189019129788523, 5: 13.332083007373075}","{0: 5.05505354276139, 1: 7.9465276573603845, 2: 13.607711500631758, 3: 6.460163979254591, 4: 5.974384219191087, 5: 7.00242348696094}"
0.3516483516483517,"{0: 15.699896370946552, 1: 18.886498584751077, 2: 5.883919369434762, 3: 13.277147531217695, 4: 12.483306059816867, 5: 14.434031039502841}","{0: 14.320942059367399, 1: 12.00180665521286, 2: 4.690021741359563, 3: 11.15194792740153, 4: 12.434252928563552, 5: 7.944794260113227}","{0: 16.540104245628413, 1: 11.486367892689637, 2: 5.232149666506002, 3: 12.33046486463746, 4: 14.639681110379449, 5: 11.47354401998025}","{0: 16.22605075638096, 1: 17.114742750435635, 2: 3.7074843754274744, 3: 10.688631484779506, 4: 10.49085561720195, 5: 14.25536173533991}"
0.3543956043956044,"{0: 12.666666666666663, 1: 13.192592592592652, 2: 8.617068317903952, 3: 7.234722222221866, 4: 10.086111111110995, 5: 10.943970085620753}","{0: 10.177790394068007, 1: 11.863215343705358, 2: 10.888499044044275, 3: 7.229912125926532, 4: 11.100877364518672, 5: 9.042516623699408}","{0: 11.438602892135522, 1: 12.781325934001243, 2: 13.394347941473804, 3: 8.184496472617482, 4: 7.660872198017795, 5: 8.861225399820256}","{0: 9.984652255899954, 1: 7.809876279272132, 2: 9.92049022512569, 3: 5.955936117092468, 4: 10.123152775624376, 5: 11.432230138789876}"
0.35714285714285715,"{0: 6.209075106089151, 1: 13.492370881115223, 2: 4.08277931600609, 3: 10.394569049179351, 4: 9.952069082340468, 5: 7.961737836649693}","{0: 4.168412871475101, 1: 12.387115858788908, 2: 3.5197935836291, 3: 9.699226700927612, 4: 9.630815045223796, 5: 6.963186316807708}","{0: 5.982191482762704, 1: 12.622898748506627, 2: 3.6353448419297307, 3: 9.228927911598722, 4: 12.461531021537777, 5: 8.579018991853461}","{0: 6.710339721973566, 1: 15.329201948451384, 2: 4.1069863768217525, 3: 10.457918827636055, 4: 10.032627770145988, 5: 10.081919741738936}"
0.3598901098901099,"{0: 7.259322735421709, 1: 15.648373344605055, 2: 12.895439552965541, 3: 11.996726761493948, 4: 12.337910972938287, 5: 12.630697504500873}","{0: 6.123639469407031, 1: 13.872447928790933, 2: 13.261162808642185, 3: 11.454273816114133, 4: 11.689534018935724, 5: 10.511414779382722}","{0: 8.325360054351618, 1: 16.253210331366184, 2: 15.617532788320188, 3: 13.833713115799823, 4: 16.4186276547445, 5: 13.289028793337245}","{0: 7.697706594051109, 1: 18.749474233316143, 2: 12.229212794388724, 3: 12.940043852529195, 4: 12.926037525496634, 5: 13.95249650142035}"
